1569979577,3,0,3,"C10,C8,C3,C2;S9,S2,S3,S8;SK,S7,SQ,SA;D2,D3,DA,S5;D4,D5,DK,CK;CQ,C5,C9,CA;S6,CJ,DJ,SJ;D10,HK,DQ,H5;D6,HA,H7,D9;HQ,H8,HJ,C4;D7,H4,H2,D8;C7,H10,H9,S10;C6,H6,H3,S4"
1569979577,3,20,3,"CA,C9,C6,C2;S5,SA,S7,SK;S8,DJ,CJ,S3;S10,D4,DQ,S2;S9,C5,D9,S4;CK,C3,DA,CQ;C7,C8,H3,C10;H8,H5,H10,H7;HK,H4,HJ,HA;D2,D7,HQ,D5;S6,H2,SJ,D6;D10,H9,C4,DK;D3,D8,H6,SQ"
1569979577,3,14,3,"C9,CJ,C5,C2;D2,D7,D8,D6;S6,SK,S9,S5;S7,S4,S10,S8;DA,D10,D5,D3;SQ,S3,SJ,SA;C7,CA,DQ,C3;C4,CK,DK,CQ;DJ,C8,HA,D9;H2,H9,H5,H8;H6,HJ,HQ,H7;H10,H4,HK,S2;C10,D4,H3,C6"
1569979577,3,4,3,"C6,C10,CK,C2;S10,SA,SK,S5;DK,D10,D7,D4;C4,CQ,CA,S8;DQ,DJ,D3,D8;S4,S6,S2,SQ;D5,S3,DA,D6;CJ,C5,D9,S9;C7,C3,SJ,S7;C8,HJ,D2,H7;H3,H6,HK,H9;H5,HA,H10,H2;H4,H8,C9,HQ"
1569979577,3,4,3,"CK,C7,C10,C2;DK,DA,D7,D10;S10,S9,S2,SQ;D5,D3,D8,DJ;SK,S7,S4,S5;DQ,D9,C5,D6;D4,CJ,S3,C6;D2,C8,C4,CQ;HA,H4,H7,HJ;H8,HQ,H2,H6;H5,SA,HK,H10;CA,S6,H9,C9;S8,SJ,H3,C3"
1569979577,3,8,3,"C9,C10,C4,C2;C3,CQ,CA,CK;S7,S3,S8,SQ;D5,D4,D3,D6;DQ,DA,D2,D7;SK,SA,C7,S6;S5,S4,D10,S10;C6,DJ,C8,CJ;S9,HJ,D9,S2;H10,HA,H4,H9;H6,H3,H7,H8;H5,H2,C5,HQ;HK,SJ,DK,D8"
1569979577,3,13,3,"C5,C3,C8,C2;S6,SK,S9,S7;S5,S10,SA,SQ;D10,D2,D4,D8;DJ,D9,DK,D3;CQ,CK,S4,C4;DQ,D5,DA,D6;S8,SJ,S3,C10;CJ,S2,C9,C6;CA,H9,C7,D7;H2,H6,HQ,H3;HJ,H5,H8,HA;HK,H7,H4,H10"
