1571051022,3,16,2,"CA,CQ,C6,C2;D4,D10,DQ,DK;D2,D6,D8,D5;S10,SK,S6,SA;S8,S5,S4,S9;DJ,DA,H8,D9;H7,H3,H9,H4;C5,CJ,CK,C7;HA,H5,H2,H6;C3,C4,C9,C8;C10,HK,S2,S3;D3,HQ,SJ,S7;SQ,D7,H10,HJ"
1571051022,3,0,2,"C9,CK,C5,C2;H8,CQ,C3,C6;S6,S2,SA,S5;H6,H4,H3,H7;DA,D9,D10,D8;C7,C4,D3,CA;DJ,S7,SJ,SK;D4,D7,D2,DK;H5,S8,HA,S9;H9,S10,H10,SQ;HQ,DQ,D6,S3;C8,C10,HJ,CJ;HK,H2,D5,S4"
1571051022,3,26,2,"CA,C10,C3,C2;D8,DJ,DQ,D7;H5,C8,C5,C9;D5,CK,C4,C7;S9,S4,S8,S3;HK,H10,H3,H9;D3,D2,S2,D4;SJ,S7,S10,SQ;SA,D6,C6,CJ;H2,H6,HJ,CQ;HQ,D10,S6,DA;H8,DK,HA,S5;H4,D9,H7,SK"
