1571051428,3,4,3,"C6,C9,C3,C2;S7,SA,S3,S5;DQ,D3,D9,DA;HK,CJ,C4,CK;H3,H9,H2,H10;S4,S2,S9,S8;D4,D6,D5,D10;DK,D7,D8,D2;H7,C10,C8,C5;SK,HA,S6,SJ;C7,H4,H5,H6;CQ,DJ,HJ,H8;HQ,CA,SQ,S10"
1571051428,3,25,3,"C7,CK,CQ,C2;S9,SK,SA,S6;SJ,S5,S2,S3;D9,DK,D10,DQ;C9,C8,C3,C10;H7,DJ,D5,D4;H6,H10,H2,H4;S10,C6,D2,D8;H8,CJ,C5,D3;H9,S4,HQ,D6;HJ,C4,S8,CA;HK,S7,SQ,DA;HA,H5,H3,D7"
1571051428,3,1,3,"CK,C9,CQ,C2;D5,D7,DK,D3;DA,D9,D4,D2;D6,HA,S7,D8;HJ,H5,HQ,H4;C5,H10,C10,C6;S9,SJ,S6,S8;H2,S5,H7,H3;H9,DJ,S2,H6;SK,S10,HK,H8;SA,SQ,CA,S3;D10,C4,C7,DQ;S4,C3,CJ,C8"
1571051428,3,17,3,"C8,C6,C3,C2;S6,SK,S5,S7;S3,S9,S10,SJ;D9,D7,D5,DQ;D10,D6,D4,DK;C4,H9,D3,D2;H4,C10,C5,C9;S4,SA,DA,S2;D8,SQ,HK,DJ;H10,HJ,HA,H3;H6,H5,H2,H8;CA,HQ,CK,CQ;H7,S8,C7,CJ"
1571051428,3,4,3,"C4,C3,C9,C2;S7,SQ,S9,S6;CJ,C6,C7,C8;S2,H9,S5,S3;H6,H3,H2,H5;HQ,C10,H7,H8;D10,DK,D6,D2;DJ,D8,D3,D4;CA,CQ,DA,CK;D7,S8,HJ,DQ;C5,SA,HK,S4;HA,SK,D5,H10;S10,D9,SJ,H4"
