1569982536,3,0,1,"C5,CA,CK,C2;C3,CJ,CQ,C10;D8,DQ,DJ,D2;S10,S5,SK,S6;S9,S4,S2,SA;C9,SQ,C7,C6;C8,S8,D7,D6;C4,DA,S7,D9;HJ,H4,H10,H2;H8,HK,D5,HA;SJ,H3,S3,H6;D10,H9,D4,H7;DK,HQ,D3,H5"
1569982536,3,0,1,"CQ,C8,C3,C2;S7,SA,S10,S6;C9,DA,CK,C7;CJ,D8,C4,S3;D4,DK,D3,D10;S5,S4,S9,S8;C5,CA,SJ,SQ;DJ,D2,D6,D7;DQ,HK,D9,H7;HQ,HJ,H8,H9;H3,H10,H2,C6;HA,H6,SK,C10;H4,H5,D5,S2"
1569982536,3,3,1,"CK,CJ,C7,C2;C4,S7,C8,C9;SQ,SA,S9,S5;D9,DQ,D10,D8;DK,DA,D2,C3;S8,D6,S2,SJ;C10,CQ,S4,C6;D3,D7,C5,CA;D4,DJ,S6,S3;D5,HQ,H10,HA;H7,H2,H9,H3;HJ,H4,H6,SK;HK,H8,H5,S10"
1569982536,3,0,1,"CA,C7,C3,C2;D10,D2,D5,DQ;CJ,C9,CQ,C10;D6,DA,D3,D4;C5,S3,C8,CK;DK,SK,DJ,D9;D8,C4,D7,S6;S4,S8,S9,SJ;S2,S5,S7,SA;HJ,HA,H6,HQ;H2,H5,H7,H4;H3,H10,C6,H9;S10,H8,SQ,HK"
1569982536,3,0,1,"C8,CA,CJ,C2;D9,D8,D2,DJ;S7,S9,SK,S4;C4,C3,C6,C7;D6,D7,D10,D3;C9,C5,S5,CQ;D4,DA,DQ,D5;SQ,S2,S10,SA;S8,S6,HA,S3;HQ,H3,H2,H4;H5,HJ,HK,H10;H7,SJ,CK,H8;H6,DK,H9,C10"
1569982536,3,7,1,"C3,CQ,C6,C2;SJ,S6,S4,SA;D7,DQ,D2,DK;S5,S2,S8,S10;C5,C10,C7,C9;DA,DJ,D5,D8;D6,CJ,D9,D10;HJ,H10,HQ,H6;D3,SK,C4,H5;SQ,S3,C8,H2;H8,H3,HK,H4;CA,S7,CK,H9;HA,S9,D4,H7"
1569982536,3,8,1,"C7,C9,CJ,C2;DK,DJ,D6,D9;DA,D8,D4,DQ;D7,D3,D5,S10;CK,CQ,C10,CA;S8,S9,S6,S3;SK,S2,S4,SA;S5,SQ,C3,S7;SJ,HQ,D10,C4;H4,H5,H9,H2;H3,H8,H6,HA;C8,H7,C5,HK;HJ,H10,C6,D2"
1569982536,3,17,1,"C4,CJ,C8,C2;D2,D8,D6,D10;D7,D5,DQ,DA;C5,C6,CQ,C10;S3,SJ,SQ,S9;C3,CK,S8,C9;S7,S6,S10,S2;D4,D9,S4,DJ;S5,DK,SK,SA;C7,H2,H9,CA;H5,HJ,HA,H10;H6,HK,HQ,H3;H7,D3,H8,H4"
1569982536,3,6,1,"C3,C6,CK,C2;DK,DQ,D5,D4;D10,DJ,D6,S9;C5,C8,CQ,SK;S6,SQ,S8,S2;CA,C10,D2,C7;CJ,C4,DA,S7;C9,D8,S4,S10;D7,D9,H9,HA;H5,H2,H6,HQ;SJ,HK,H4,S3;S5,HJ,H10,SA;H7,H8,D3,H3"
1569982536,3,3,1,"C6,C5,CK,C2;CQ,C9,CA,C8;SA,SK,S5,SQ;S7,S3,SJ,DQ;D6,DA,D9,D10;C3,CJ,C7,S8;D3,D2,D4,S4;DK,D5,C4,S6;D8,D7,H6,HQ;H8,H7,HK,H5;H2,H9,HJ,H3;S2,S10,HA,S9;C10,H4,H10,DJ"
