1569977224,3,2,2,"C2,C9,CA,C8;S2,S3,S7,S6;C3,C7,CK,C10;SA,S10,S8,S4;SK,S9,SJ,S5;SQ,D7,H7,D8;C6,CJ,C4,C5;D4,D9,DQ,D5;CQ,H9,D2,HJ;H8,HQ,H5,HK;D6,H6,DK,DA;D10,H2,D3,DJ;HA,H3,H10,H4"
1569977224,3,0,2,"C2,CK,CQ,CA;D2,D9,D3,DQ;SQ,S3,S5,SA;S9,S7,SK,S6;D5,D4,D10,DA;S8,DK,S10,C5;SJ,HK,HJ,H6;S2,DJ,D6,H8;S4,H10,C7,D7;H4,HQ,H3,HA;C6,C4,H2,CJ;C10,C8,H5,C9;C3,D8,H7,H9"
1569977224,3,0,2,"C2,C6,C9,CA;C4,C5,CJ,C8;SJ,S6,S8,S5;S4,S7,SK,S3;D9,D7,DK,D5;SQ,SA,D4,S10;C10,CK,C3,H9;H10,H8,HQ,H3;D10,D8,DA,D3;HJ,HA,H4,H5;C7,CQ,H2,S2;H7,D6,D2,H6;HK,DJ,DQ,S9"
1569977224,3,0,2,"C2,CA,C8,C9;S7,S5,S10,S3;D9,D10,DK,D2;SK,S2,SA,H6;C3,C10,C6,C5;CQ,DQ,C7,HJ;CJ,D5,C4,H5;SJ,S6,S8,D8;DJ,D4,S4,D6;CK,H10,H4,D3;SQ,D7,S9,HA;H2,HK,H9,HQ;DA,H8,H3,H7"
1569977224,3,14,2,"C2,CJ,C8,C10;DK,D3,D2,D6;C7,C9,C4,CQ;S6,S2,S8,S10;SQ,S5,S7,S4;DA,D8,D9,D4;CK,C5,CA,H10;H9,HK,H3,H4;S3,SJ,SK,SA;H6,HQ,H5,H7;D7,D10,DQ,H2;C3,HA,S9,C6;HJ,H8,DJ,D5"
1569977224,3,0,2,"C2,CJ,C9,C7;D10,D4,D3,D5;SJ,S10,S4,S9;C5,C8,C10,C6;D8,DK,DJ,DA;CK,C3,H2,CQ;SK,S5,H4,S2;CA,HJ,D7,H7;SQ,SA,D9,S3;HA,H9,HQ,H8;S8,DQ,S6,H6;S7,H3,H10,D6;HK,H5,D2,C4"
