1569978294,3,0,0,"C2,C6,CQ,C4;S9,SJ,S7,S6;CJ,CK,CA,C8;D8,DJ,D4,D10;S10,SK,SA,S3;D7,D2,D3,DA;S2,SQ,S8,S4;C10,C9,D6,DK;D9,D5,HQ,H10;S5,C5,H3,HK;C3,C7,H4,H9;DQ,HA,H5,H7;H6,HJ,H2,H8"
1569978294,3,8,0,"C2,C5,C7,C8;S6,SK,S8,SA;DA,DK,D5,D3;CJ,C6,CQ,C9;C10,CK,DQ,S10;S7,S5,S3,S9;C3,C4,SQ,D4;D7,HJ,D2,D10;H9,H3,H6,H4;SJ,H8,S2,S4;HQ,HA,D6,H10;HK,CA,D9,H5;H2,DJ,D8,H7"
1569978294,3,13,0,"C2,C7,CA,C5;DQ,D9,D3,D8;CJ,C10,S5,C4;C9,C3,S8,C8;SA,D5,S6,SQ;S2,D7,S9,S10;D6,D10,D2,DK;S3,C6,SK,S7;SJ,HQ,DJ,CQ;S4,H5,H3,H2;DA,H7,H10,H4;D4,HK,H9,H8;H6,HA,CK,HJ"
1569978294,3,8,0,"C2,CA,C6,C8;D6,DA,D3,D7;S7,SA,S9,S4;S2,SJ,S8,SQ;CK,S3,S10,C3;D4,D9,D8,D5;SK,S6,C4,CJ;S5,DK,C7,C10;D10,DQ,C9,CQ;DJ,D2,H6,HK;H9,H10,H5,H8;HA,HJ,H2,H3;H4,HQ,C5,H7"
1569978294,3,0,0,"C2,C6,C8,C3;D7,D8,D3,D2;CK,C7,C4,CA;SK,S9,S5,S4;S6,SJ,S8,S7;S10,S3,SA,C10;C9,D10,SQ,DK;C5,DA,DJ,D9;S2,H5,H6,H3;CJ,H9,H2,H8;D6,D5,DQ,HK;H4,HA,H7,HJ;D4,CQ,H10,HQ"
1569978294,3,3,0,"C2,C7,C5,C3;D3,D2,DJ,D6;S4,S2,S5,SK;DA,CJ,D9,D7;D5,S3,S8,D10;CQ,C8,CK,C10;S9,S7,SQ,C6;S6,SA,S10,H5;D4,H9,H7,HK;D8,H8,SJ,H10;DQ,CA,C9,H6;DK,HQ,H3,H4;HJ,H2,C4,HA"
1569978294,3,0,0,"C2,C5,CJ,C6;S10,S5,SQ,S3;D5,D9,DA,D3;S6,S8,SJ,D4;D2,C7,DJ,D6;S7,SA,DQ,DK;C10,C9,CK,C3;CA,CQ,H6,C4;H4,SK,HJ,H10;HK,S9,H9,H7;H3,S4,H5,D8;H2,S2,HQ,D10;H8,C8,HA,D7"
1569978294,3,1,0,"C2,CJ,C5,C9;DK,DJ,D5,D10;D9,D2,D7,D6;D8,S5,S8,D3;DA,SJ,S9,SQ;S4,S7,S6,C3;S10,S2,S3,C7;SA,DQ,C8,CQ;SK,CA,C10,C6;C4,D4,H10,CK;H6,H7,H8,H4;H2,H5,HA,HK;H9,HJ,H3,HQ"
1569978294,3,0,0,"C2,CJ,C7,C3;SK,SA,S7,S4;D4,D10,D6,D3;C6,C9,D2,C10;SQ,S9,S10,S5;SJ,DJ,D8,S2;S8,D5,DA,C8;S3,DK,DQ,CK;S6,D7,D9,CQ;H10,H2,H4,HQ;H5,H6,H7,HA;H8,C5,H3,H9;CA,HJ,C4,HK"
