1569982449,3,13,0,"C5,C8,C7,C2;D8,D2,DJ,DA;D7,DQ,D5,C9;CQ,CK,S8,C3;SQ,S7,S3,S5;S10,SK,S2,S9;D6,D4,CJ,D3;D10,D9,H7,SJ;HA,H5,H2,H9;HQ,C10,H6,H10;H3,C6,HK,H4;H8,C4,SA,S4;HJ,CA,DK,S6"
1569982449,3,0,0,"CK,C10,C9,C2;D9,D2,DA,D7;D4,D10,D6,D3;C7,SJ,C5,C4;C3,SA,CA,CQ;S7,SK,S9,S8;S3,S10,S4,S6;DJ,D5,SQ,DQ;D8,HQ,DK,H5;H2,HA,HK,H3;H6,HJ,H4,H9;H10,C6,CJ,H8;S2,S5,C8,H7"
1569982449,3,2,0,"C5,CJ,C6,C2;D8,D4,DQ,DK;S4,S3,SK,S10;C8,CK,C9,C3;S7,CQ,S5,S9;D3,D7,DA,SQ;C7,D2,CA,D9;C4,D6,C10,S6;S2,S8,DJ,D10;SA,H6,SJ,HK;H10,HA,H8,H5;H7,HJ,H9,H2;HQ,D5,H3,H4"
1569982449,3,2,0,"CJ,C8,C6,C2;SK,SJ,S6,SQ;S7,S8,S10,S5;D5,DA,D4,D7;CK,C3,D8,CA;SA,C4,S2,S3;S4,C5,S9,DQ;DJ,D9,D6,D3;D2,C10,H10,C7;D10,H7,H5,H2;C9,CQ,H3,H8;H6,H4,HA,HQ;DK,HJ,HK,H9"
1569982449,3,17,0,"C8,C5,C6,C2;S5,SA,S7,S9;D3,DQ,D5,D10;DJ,DK,D2,D8;CK,C3,C9,C7;D6,D9,DA,SJ;S2,SQ,S6,S3;D4,CQ,CJ,SK;D7,S8,C10,S10;H9,H7,H6,H4;H3,HJ,H5,H2;CA,HA,H8,HK;C4,HQ,S4,H10"
1569982449,3,3,0,"CQ,C5,CJ,C2;D5,D6,D9,C8;S3,SQ,S8,S4;CA,C4,C3,C10;SJ,S6,S10,S7;C7,DJ,C9,C6;D2,CK,D7,D10;D4,S5,DK,D3;S2,S9,DQ,SK;D8,H8,H2,H5;H4,H3,HK,H6;H7,HA,DA,HJ;H10,SA,HQ,H9"
1569982449,3,15,0,"CK,C10,C5,C2;S10,S4,S8,S9;CQ,DQ,C9,C7;SQ,S3,SA,D3;DK,D8,DA,C3;SK,D7,S7,S6;D4,D6,D2,C8;DJ,D5,D9,S5;H7,H8,H6,HA;S2,H10,SJ,H5;C4,H4,CJ,H9;HQ,HJ,CA,H2;HK,D10,C6,H3"
