1569982504,3,18,2,"C6,CA,C5,C2;S8,S6,SQ,S7;C3,D7,C7,CJ;D10,DQ,DK,DJ;D6,D5,D9,D4;S9,S4,H8,S3;HJ,H4,HQ,H9;H2,H10,D2,S5;DA,HA,C9,D3;CQ,H5,C10,CK;C4,D8,H7,C8;SJ,S2,H3,SA;SK,H6,HK,S10"
1569982504,3,8,2,"C10,CJ,C5,C2;D2,D4,D9,D7;SQ,S3,S2,S8;CA,C9,C7,C3;SK,S9,S6,S10;C6,D6,D3,CK;CQ,D10,D8,C8;C4,SA,SJ,S5;HA,H3,H6,H5;HK,HQ,HJ,H8;H2,H7,H9,DQ;S4,DA,S7,H10;DK,DJ,D5,H4"
1569982504,3,0,2,"C10,C4,CJ,C2;S6,SQ,S4,S2;CQ,C6,C3,CK;SK,S5,SJ,S3;D5,DK,D9,D2;D3,DA,D7,DJ;S8,S7,SA,S9;D8,C5,DQ,D4;C8,D10,CA,C7;S10,HQ,H3,HA;H5,HJ,H9,H8;H2,H10,H6,H4;D6,H7,C9,HK"
1569982504,3,0,2,"C6,CJ,C10,C2;D9,D8,D6,D10;CK,C5,C3,C9;C4,DJ,C7,D5;SJ,SQ,S10,S3;D2,DQ,D3,DK;S4,S9,S2,SK;DA,S5,D4,CQ;D7,S8,SA,C8;S6,HA,S7,H10;H5,H8,H9,H4;H7,HJ,H3,HQ;CA,H6,H2,HK"
1569982504,3,0,2,"C5,C10,C6,C2;D2,D9,DJ,D4;SJ,SA,S7,S5;CK,C8,CA,C3;SK,S6,S9,S3;CJ,C4,C7,CQ;DA,DK,D3,D7;D8,S4,D10,D6;S8,SQ,H6,S2;H8,H4,H10,HA;DQ,HJ,HK,H3;D5,H7,H5,HQ;H2,H9,S10,C9"
