1569977209,3,1,3,"C2,C7,C10,C4;SK,S2,S10,S9;S3,S4,SJ,S7;C5,C6,H4,CK;H2,HJ,H7,H3;H6,H8,C8,H10;HA,H5,HQ,CJ;SA,S6,SQ,D3;C9,D9,C3,CQ;D5,D7,D8,DQ;DK,DJ,D10,D6;HK,S5,D2,DA;H9,S8,CA,D4"
1569977209,3,20,3,"C2,CQ,C3,C6;D3,D4,S4,D5;S10,S3,S7,S5;C9,C10,C4,C5;D7,HJ,DK,D2;SJ,S2,S6,H6;CJ,CA,H3,CK;H7,HQ,H9,H10;SA,S9,D6,SQ;DQ,D9,D10,H8;C7,D8,DJ,C8;SK,HK,S8,DA;H5,H2,HA,H4"
1569977209,3,10,3,"C2,C8,CK,C4;DQ,DA,D7,D10;SK,SQ,S2,S10;SJ,S6,D6,S4;SA,S7,C9,H7;CQ,C6,C3,CA;DK,D3,HK,D9;D8,D2,H4,D4;C5,C10,H9,C7;S5,H6,H10,HQ;S9,H3,H5,H2;S8,H8,CJ,DJ;S3,HA,HJ,D5"
1569977209,3,18,3,"C2,CJ,C9,C4;D4,DQ,DK,DJ;CA,C8,C6,C7;S10,S7,S2,S5;D8,D6,D3,D10;CQ,C3,H3,C10;S6,S3,S4,S9;SQ,S8,SJ,SK;D2,D9,D5,DA;H2,H10,HK,HA;H4,CK,H9,H7;SA,D7,HJ,H8;HQ,C5,H5,H6"
1569977209,3,13,3,"C2,C7,CA,C3;D9,D8,D5,D7;D4,DA,D3,DJ;S7,SK,S3,S5;S10,S9,SQ,S2;SJ,S8,SA,S4;DQ,DK,D10,D2;C5,CQ,C9,C4;S6,H6,C10,HK;H8,H7,H3,H10;D6,H9,HQ,CJ;C6,HJ,H5,CK;C8,HA,H2,H4"
1569977209,3,3,3,"C2,C7,C10,CA;DJ,DA,D3,D6;S8,S7,S6,S10;D5,DK,DQ,D7;S2,S3,S5,SQ;D2,D10,D8,D4;S4,S9,SJ,SK;D9,H7,HJ,HA;C6,CJ,C9,C4;SA,H2,H4,H10;C3,C8,CK,CQ;H6,H3,H5,HK;H8,H9,C5,HQ"
1569977209,3,5,3,"C2,C3,C7,CJ;SJ,S7,S2,S8;C10,C5,CQ,C4;D6,D2,DQ,D9;S5,S3,SQ,S6;DK,D7,D8,D10;DJ,D4,D3,D5;H6,H9,H7,H3;SK,SA,CA,HK;C9,S10,C6,HJ;CK,S9,C8,H4;S4,H2,DA,H8;H5,HQ,H10,HA"
1569977209,3,21,3,"C2,C6,SK,C10;S9,S7,S10,S2;D2,D5,D6,DA;D10,HA,DK,D9;S8,SA,S6,H6;C9,H8,C7,C5;CA,SJ,CK,C3;S5,SQ,H5,DQ;D8,DJ,H10,D4;HJ,H2,HK,H4;H9,C8,H7,D3;S4,S3,CQ,D7;H3,CJ,HQ,C4"
1569977209,3,22,3,"C2,CA,CK,C3;DA,D7,DQ,D2;C6,D3,C5,C4;D10,D9,DJ,D5;S5,SA,S8,S4;D6,D4,DK,D8;S6,S9,S10,S3;HJ,HA,H7,H10;S7,SJ,SQ,H5;CQ,C9,C8,H3;CJ,S2,H9,H2;C10,HQ,H8,H6;C7,SK,HK,H4"
