1571051102,3,5,2,"C5,C8,C9,C2;S8,SK,S4,S7;D6,D2,DA,D4;D9,D8,D7,D3;SJ,S2,S3,S9;D10,H10,D5,DK;C7,C10,DQ,CJ;H9,HA,HQ,H3;SA,C3,C4,CK;H6,H8,S5,S6;H5,H7,H2,H4;CA,CQ,HK,C6;S10,HJ,DJ,SQ"
1571051102,3,9,2,"C8,C7,C5,C2;D10,DA,D7,D4;D8,D9,S6,D3;S3,DQ,D2,D5;SQ,S8,SK,S4;C3,C9,H5,CK;S2,S9,SJ,S5;C4,HQ,H9,H3;C10,H4,SA,DK;H6,H2,CJ,H8;CQ,HA,S10,D6;C6,HJ,S7,DJ;H10,HK,CA,H7"
1571051102,3,14,2,"C3,C7,CA,C2;CQ,CK,C8,C9;D8,D2,DQ,DJ;D6,D7,DA,D3;CJ,S4,C10,C6;SJ,S8,S6,S5;S10,SK,S2,S9;H3,DK,H9,C4;HQ,H5,H4,H2;S3,D9,HJ,D10;SQ,D5,HK,D4;H8,HA,H6,H7;S7,H10,C5,SA"
1571051102,3,0,2,"SJ,C9,C4,C2;DK,D10,D9,D6;CJ,H4,C6,CA;H8,H10,H7,HQ;DA,DJ,D2,D4;D5,D3,S2,DQ;D7,H5,CK,D8;H3,SA,H2,H6;S7,SK,S6,S5;C3,HA,S4,C5;CQ,SQ,HJ,S3;HK,S8,C7,S9;H9,C8,C10,S10"
1571051102,3,14,2,"CJ,C6,CQ,C2;SQ,S6,S4,S10;D7,D4,DK,DJ;C3,C8,CA,CK;S2,HA,S8,S5;C5,C7,HK,C10;H8,H5,H2,HQ;SK,C4,D5,S9;D10,D9,SA,DQ;HJ,D3,H10,D8;H7,DA,S7,D6;SJ,H9,H3,H4;C9,D2,S3,H6"
1571051102,3,3,2,"CJ,C10,C7,C2;CK,CQ,C4,C6;SQ,S4,S8,SA;D4,D8,D2,DA;D3,DQ,D7,DK;DJ,C9,C5,C3;S10,D10,S5,S7;H10,S9,S3,S2;S6,H6,HA,SJ;HK,H7,H3,H8;D9,D6,H4,SK;C8,HQ,H5,D5;CA,H2,H9,HJ"
1571051102,3,17,2,"C3,C9,C7,C2;D6,D2,DA,D8;S7,SJ,S6,SQ;S2,S4,S9,SK;CA,S3,H8,S5;D4,S8,H10,S10;CK,HK,C5,C6;D9,D5,DJ,D10;H9,H3,HJ,H5;C4,DQ,H2,C10;CJ,HA,H7,C8;D3,H6,D7,H4;CQ,HQ,DK,SA"
