1571051502,3,0,2,"C3,CJ,C8,C2;CA,CQ,C9,CK;DA,DJ,D2,D4;C6,C7,C10,C4;D9,D6,DK,DQ;S4,S6,S10,S9;D10,D7,D8,D3;SA,S3,SQ,S7;H2,HA,S5,S8;H6,H4,HJ,H8;S2,D5,H3,SK;H9,H5,HK,HQ;SJ,H7,H10,C5"
1571051502,3,4,2,"CA,CQ,C3,C2;S9,S4,SQ,S8;C4,CK,C9,C6;C7,C10,DQ,C5;S6,S7,SK,S3;DK,D4,C8,CJ;S5,D10,S10,SJ;D2,D6,D9,DJ;H4,H8,D5,DA;H3,H10,HQ,H7;D8,SA,HJ,D3;H9,H6,S2,H5;HK,D7,HA,H2"
1571051502,3,7,2,"C8,CK,C4,C2;DJ,D9,DK,D4;S2,S8,S6,SQ;S10,S4,S7,SA;D2,DQ,D7,D5;C6,C7,C3,C9;CQ,CJ,C10,C5;D3,H9,D8,D10;S9,S5,D6,SJ;H3,H2,H7,HK;H5,SK,HJ,DA;H8,H4,HQ,H6;CA,H10,S3,HA"
1571051502,3,12,2,"CQ,C5,CA,C2;S6,S3,SJ,S5;S4,S9,S7,SK;SQ,S8,SA,S2;D10,DK,D2,D8;D3,D7,DQ,D9;CK,C3,C4,C6;C8,HK,HA,C9;CJ,H9,DJ,C7;H3,H7,HJ,H4;H8,D5,H2,C10;H5,D6,H10,DA;S10,H6,HQ,D4"
1571051502,3,2,2,"C5,CJ,CA,C2;C9,C4,C3,C7;S8,S5,S6,S3;D3,D10,D7,D4;S7,S9,SJ,SK;S4,H7,DA,S10;DJ,D5,D8,DQ;D6,H5,DK,D9;H8,H4,H2,H9;D2,H10,HJ,HQ;C10,HK,CQ,H3;C6,H6,SQ,S2;SA,C8,HA,CK"
1571051502,3,4,2,"CQ,C10,C7,C2;SQ,S3,SA,S8;D8,D7,D10,D4;S9,SJ,S6,S7;D5,DK,D6,D3;HQ,S2,S10,S4;C6,CA,C3,C4;HK,HJ,H4,H5;C5,S5,C8,C9;D9,H3,DJ,D2;H7,DA,H9,HA;CJ,SK,H10,H2;H6,CK,DQ,H8"
1571051502,3,9,2,"C7,C9,C3,C2;D6,DK,DQ,D2;D4,DA,D10,D5;C5,CA,C6,CJ;SK,S8,S9,SA;S3,S5,SQ,S10;D8,D7,H2,D3;SJ,S2,CK,S4;H4,H10,HK,H8;HQ,H5,H9,HA;H3,C8,C10,C4;H7,H6,CQ,HJ;S6,DJ,S7,D9"
1571051502,3,13,2,"CJ,C7,C4,C2;CQ,C8,CK,C10;D3,DA,D4,D9;D2,DQ,D8,D5;S7,S10,S8,SQ;SA,S3,S9,S2;D6,D7,DK,DJ;S4,SK,S6,S5;H2,H9,HA,H10;H8,H5,H3,HJ;H4,C5,H6,C6;HK,C9,SJ,CA;HQ,D10,H7,C3"
1571051502,3,4,2,"CQ,CJ,C3,C2;D8,DK,DQ,D10;CA,C6,C10,C5;S6,S7,SK,S10;SJ,CK,C4,C8;S8,S9,SQ,S3;S4,H5,D9,SA;D2,C9,DJ,D4;H8,H2,H7,H9;D7,D5,HA,D3;S2,H10,DA,S5;HK,HJ,D6,HQ;H6,C7,H3,H4"
1571051502,3,0,2,"CK,CA,CJ,C2;CQ,HA,C10,C6;S5,S4,S9,SK;DK,D7,D6,D9;HK,H6,HJ,H2;S3,S7,H4,S6;HQ,C8,C5,C7;D3,D8,DQ,D4;H10,DA,D5,D2;C4,H3,S10,C9;SQ,H7,SJ,S2;D10,SA,DJ,C3;H5,S8,H9,H8"
