1570124977,3,3,0,"C6,C3,C7,C2;D8,D10,D4,D2;SK,S10,SJ,S6;C10,C9,CJ,C8;SQ,S3,S7,S4;S9,C4,SA,S8;C5,HA,D9,CK;DQ,DJ,D7,D6;CQ,HK,S5,HQ;H7,H9,H6,H8;D3,H10,D5,H2;DK,DA,S2,H3;H5,H4,CA,HJ"
1570124977,3,15,0,"C8,CK,C10,C2;DA,DQ,D4,DJ;D10,D5,D2,D3;DK,H3,H6,D8;S9,S3,SK,S7;C4,CA,C3,C9;C5,CQ,SJ,CJ;C6,C7,H5,S4;HQ,H7,H4,HA;D6,H2,H9,S2;D9,H8,S8,SA;D7,S6,HK,S5;S10,HJ,H10,SQ"
1570124977,3,2,0,"C9,C8,C5,C2;C7,C6,C4,CJ;D4,DK,D6,DA;D7,D5,D3,D9;CQ,C10,C3,S10;S2,SQ,SJ,S8;CA,SK,CK,S4;D10,HQ,D2,DJ;S5,H6,S3,S6;H8,H10,HA,H3;DQ,D8,H7,H2;H9,HJ,HK,S7;S9,H5,H4,SA"
1570124977,3,3,0,"CJ,C3,C6,C2;SJ,S8,S6,H4;S4,SA,S7,H3;C4,C10,C5,CQ;HA,HK,H2,HJ;HQ,H6,S9,H5;D9,DA,DK,D8;C9,CA,D6,S10;C7,CK,S2,S5;DQ,D5,D2,D10;D7,D4,D3,DJ;H10,H7,H8,S3;SQ,C8,H9,SK"
1570124977,3,16,0,"C4,CJ,C6,C2;C9,C3,CA,CQ;S6,S7,S3,S5;S8,S10,S9,SA;C8,C7,H4,CK;DK,DJ,DQ,D8;D2,D5,D10,D9;C10,C5,DA,H7;D4,D6,H6,D7;S4,SK,SQ,SJ;S2,D3,HK,HQ;H5,H9,H2,H8;H10,HJ,HA,H3"
1570124977,3,19,0,"C8,C5,C7,C2;C6,C10,CA,D4;D10,D2,D9,DJ;DK,D6,DA,D8;S5,SQ,C9,S10;CQ,C3,CK,SJ;C4,S4,H7,HJ;D7,D5,HK,D3;H4,H8,H10,HA;S9,HQ,SA,SK;S6,H9,CJ,S2;S8,H2,H6,S3;DQ,H5,H3,S7"
1570124977,3,11,0,"CJ,C9,C8,C2;C10,CA,C4,C7;DA,D8,D3,DQ;D5,D7,S2,D2;SQ,S9,SK,S10;S7,S6,S3,S4;CQ,CK,C6,C3;D4,H6,DK,DJ;D10,H7,HJ,H8;D6,S8,C5,HA;H10,H2,H9,H3;D9,H4,SJ,HQ;S5,HK,SA,H5"
1570124977,3,1,0,"C5,C4,C3,C2;S10,S3,SQ,SJ;CQ,CJ,C9,CA;S4,DQ,S6,SA;S8,S7,H4,SK;DJ,D7,D3,C7;D6,D9,D5,C6;H10,H5,HA,H8;H6,HJ,DA,HQ;H3,H7,H2,D8;S9,C10,S5,DK;S2,C8,D10,D4;D2,H9,HK,CK"
1570124977,3,0,0,"CA,CQ,C9,C2;D6,DJ,D3,D7;DQ,D9,D10,DK;SJ,SQ,SA,S4;C10,C7,C5,C3;CJ,C6,HJ,C4;S6,HQ,S7,S9;S10,S5,HA,S8;CK,H3,H7,H2;H8,H10,H9,H5;D2,C8,DA,D5;HK,H4,H6,D8;D4,S3,SK,S2"
1570124977,3,0,0,"CJ,CQ,C3,C2;SJ,SQ,SK,S10;D3,D10,D6,DJ;D8,D5,D9,D2;S4,S9,SA,S2;S6,S7,S3,H6;H4,HK,H5,HJ;C8,C7,C5,CA;C6,C4,C10,DQ;H7,H9,H10,H2;HA,S8,HQ,H8;S5,C9,D4,D7;H3,DK,CK,DA"
