1570125011,3,1,2,"C4,CK,C6,C2;SA,SJ,S3,S4;S2,S9,H3,S8;D2,D8,DA,DJ;DK,D5,D3,DQ;D6,D7,D10,D4;H7,H8,H9,HK;HQ,H6,H2,H4;C8,S6,C5,C9;H5,HA,H10,C7;S5,SQ,SK,C3;HJ,S7,CA,D9;S10,C10,CJ,CQ"
1570125011,3,26,2,"C9,CA,CJ,C2;DJ,D4,D10,D5;C4,C6,C5,C3;CK,S10,C8,S2;D6,DA,D2,D7;S9,S8,SA,S3;SJ,S6,S4,S7;CQ,H9,H7,H6;C7,D9,D3,H3;HJ,H4,H10,H2;C10,DK,HQ,D8;HA,HK,DQ,H8;H5,S5,SK,SQ"
1570125011,3,4,2,"CJ,C10,CK,C2;D9,D7,DK,DJ;SK,S8,S4,S10;D5,DQ,D8,D2;D4,D10,H9,DA;H7,HQ,H3,S3;D3,H4,D6,S7;SQ,S5,C3,S9;C6,CQ,C7,CA;C9,C4,H2,C8;S6,SA,S2,HA;HK,C5,H8,H10;H5,SJ,H6,HJ"
1570125011,3,0,2,"C8,C6,CK,C2;D9,DA,D5,D2;S6,S3,SQ,S10;C4,CA,DJ,C9;C5,C10,SJ,D3;S7,S5,S8,S4;SA,S2,H5,S9;HJ,HK,H3,H10;HA,H6,HQ,H4;H8,H2,CQ,D10;H9,H7,CJ,SK;D8,D7,D4,DQ;D6,C3,DK,C7"
1570125011,3,0,2,"C4,CK,C3,C2;C7,C6,CJ,H3;S6,SJ,S2,S5;H6,H9,HQ,H7;D4,D2,D5,D9;DQ,D6,D8,DJ;SA,S3,SK,S8;D7,D3,DK,CA;H2,HJ,H5,HK;C9,C10,S7,D10;H10,C8,H8,HA;S9,CQ,S4,S10;H4,SQ,DA,C5"
1570125011,3,3,2,"CJ,C10,CK,C2;S5,S3,S4,S7;SJ,SA,SQ,SK;S6,S10,CA,S9;S2,S8,H3,D2;C8,C5,C7,CQ;H5,HK,H10,H9;C6,H4,C9,C4;D3,D7,DA,D4;HA,HJ,H2,DQ;H7,C3,HQ,DJ;D5,D8,D10,D6;DK,H8,H6,D9"
