1569979593,3,4,1,"CK,C7,C3,C2;SJ,S9,S7,S3;DQ,DA,D10,D4;C9,C10,CJ,D7;D9,D5,D3,D8;D2,DJ,D6,S4;S5,S8,SK,S10;S6,SA,DK,S2;C6,HK,C5,CA;H6,HJ,H3,H10;H2,HA,H5,HQ;C8,C4,H9,H4;CQ,SQ,H8,H7"
1569979593,3,0,1,"C4,C5,CK,C2;D9,D5,D2,D3;D8,D4,DQ,S3;S4,SJ,SA,S7;S10,SK,SQ,S6;CQ,C3,C6,CA;D7,C10,D10,DA;S8,S5,S2,DK;H2,HA,H8,H4;H6,HK,HQ,H7;CJ,C8,H3,C7;S9,H9,H10,C9;HJ,DJ,H5,D6"
1569979593,3,13,1,"CQ,CJ,C3,C2;DQ,D7,D5,D9;SA,S6,SJ,SQ;D8,D4,DA,DK;S2,S8,SK,S7;D2,D3,C10,S9;C8,C4,CK,C9;S5,CA,S4,S3;S10,HA,H10,C5;HJ,H6,H7,H3;H4,C6,H9,HK;D6,DJ,H5,HQ;D10,H8,H2,C7"
1569979593,3,0,1,"C3,C6,C10,C2;SK,S9,S3,S10;C9,CJ,C7,C8;DJ,D7,DK,DA;S8,D6,S5,S6;S7,D5,S2,SA;D4,D2,D10,D8;DQ,C5,SQ,D3;CQ,CA,H9,C4;HQ,H6,H2,H10;H5,H3,H4,S4;HJ,H7,HA,SJ;HK,CK,H8,D9"
1569979593,3,13,1,"C4,C9,C5,C2;S9,SK,S3,SA;DQ,D9,DK,D4;SQ,S5,S6,S10;SJ,DJ,D3,S7;CA,C6,C3,C10;S2,D7,D2,S4;C8,C7,CQ,D5;S8,DA,CJ,D6;H6,HA,H4,H7;H2,HJ,H3,H8;HK,H9,H5,HQ;CK,D8,H10,D10"
1569979593,3,14,1,"C4,C10,C3,C2;DA,D4,D8,D10;SQ,S2,SJ,SK;S4,S3,CA,SA;S9,S8,DQ,S7;S6,D5,C6,D6;S10,C5,C9,D7;D3,C7,DK,D9;CK,HQ,CJ,CQ;H3,HJ,H5,H10;HK,H6,HA,H4;D2,S5,H2,DJ;H8,H9,C8,H7"
1569979593,3,3,1,"S5,C8,C9,C2;D9,D4,DA,D8;S9,SQ,S4,C4;D2,D10,D3,SA;SK,S7,SJ,C7;S6,S8,S10,CJ;C3,CA,DJ,C10;D6,S3,H8,D7;H4,H9,DQ,HQ;H5,HJ,C5,H6;HA,S2,H3,HK;H10,DK,H7,C6;CK,CQ,H2,D5"
1569979593,3,0,1,"CQ,C7,CK,C2;D3,D7,D2,D5;S3,S2,S5,S8;D10,DJ,D4,DK;C3,C6,C8,C10;S10,SK,D8,S7;CJ,C9,C5,CA;DQ,H6,HQ,DA;HK,H3,H2,H10;SA,SQ,HA,S6;S9,H8,HJ,SJ;D6,H9,H5,C4;D9,H4,H7,S4"
