1569982443,3,0,3,"CQ,C9,CA,C2;DQ,D4,D8,D3;C6,C5,CK,S2;D10,D5,DK,SQ;SK,S7,S6,S5;SJ,S10,S9,C10;D6,DA,SA,DJ;C7,C3,S4,C4;CJ,H2,D7,C8;HJ,H4,H10,H6;HK,HQ,HA,H8;H5,H3,H7,S3;D9,H9,S8,D2"
1569982443,3,4,3,"C8,CA,C10,C2;S2,SA,S7,SQ;DA,C4,D5,DQ;DK,SJ,D9,D2;D8,S10,DJ,D7;S6,S3,C9,S8;SK,C6,CJ,S9;S5,CK,C5,S4;H10,H3,H5,H6;H7,HJ,C3,HK;C7,HA,H8,CQ;D3,HQ,H9,D6;D4,H4,H2,D10"
1569982443,3,6,3,"C7,C5,CJ,C2;S6,S8,SA,S3;C8,C6,C3,S9;D4,DJ,D8,DA;D3,D5,D2,DQ;S7,S10,S4,SJ;D9,CQ,DK,D7;SQ,CA,D10,SK;C10,C4,H5,C9;H3,H9,H8,H10;S2,HQ,HK,S5;H4,H6,H7,CK;HA,HJ,H2,D6"
1569982443,3,13,3,"CA,CQ,CJ,C2;S2,S8,S5,S3;D5,DK,DA,D2;C8,C6,C9,C7;D9,D4,DQ,D7;S10,SQ,S4,SK;S9,S7,S6,SJ;C10,C4,D6,C5;C3,CK,H9,H4;D8,H7,H10,D3;SA,H2,HQ,HA;D10,H5,H8,H6;DJ,HK,HJ,H3"
