1569982594,3,18,3,"C6,CQ,C4,C2;C7,C5,CK,CA;S10,S7,S6,SK;DK,D3,DJ,DA;D8,D4,D10,D5;SJ,S9,S4,SQ;S5,C9,S2,S3;D6,D2,DQ,S8;D9,D7,H6,HA;H4,HK,H3,H9;H10,HQ,H8,SA;H5,HJ,C8,C3;H2,H7,C10,CJ"
1569982594,3,0,3,"C4,C10,C6,C2;D2,D6,D9,D5;S3,S2,SQ,S4;S8,DA,S5,S7;C7,CA,D4,C9;CQ,CK,DJ,C5;D8,DK,D3,DQ;SJ,C3,D10,S6;SK,C8,HA,S9;H8,H10,H9,H7;H6,HJ,HK,HQ;S10,H4,H3,CJ;SA,H5,H2,D7"
1569982594,3,4,3,"CA,C5,C8,C2;S5,S10,S9,SK;D7,D8,D6,D10;CQ,C3,C4,C9;D5,DA,DJ,D2;S2,SA,C6,CK;S8,D3,DK,S3;S4,D4,D9,S7;C10,H2,CJ,H5;H10,H3,HK,HQ;H7,H9,H6,H4;SJ,HA,DQ,SQ;S6,HJ,H8,C7"
1569982594,3,23,3,"C6,CA,C8,C2;D4,D3,D8,D2;CQ,C4,CK,CJ;S3,S9,SJ,S2;S6,S7,S5,S10;C3,C10,C5,DK;D10,SA,D6,DQ;SQ,C7,S4,D5;D7,C9,DJ,D9;SK,H7,H5,HA;H3,H2,HJ,H10;HK,H4,H9,S8;HQ,H8,H6,DA"
1569982594,3,22,3,"CJ,C3,C5,C2;D3,D5,D10,D9;S8,S3,S10,SK;D2,D6,DQ,DK;SJ,S2,S9,SA;D7,D8,DA,D4;C6,C10,C9,C7;SQ,C8,S7,S4;DJ,H9,CQ,HJ;H6,HQ,H7,H5;H10,H8,HA,H3;S5,CA,H4,CK;S6,HK,H2,C4"
1569982594,3,26,3,"C6,CA,CK,C2;D8,DJ,D3,D2;D10,CQ,DA,D6;C10,C9,C5,S2;S10,SK,SJ,S8;SA,DQ,S4,C4;S3,D5,S5,C7;D4,S6,D9,DK;HJ,H10,HA,H3;C3,HK,D7,H8;H9,H6,H4,H7;C8,S9,S7,H2;CJ,SQ,H5,HQ"
1569982594,3,4,3,"C5,CQ,CK,C2;S9,S10,S3,S7;C8,C7,C9,CJ;D3,D8,D5,D10;C6,CA,C4,S4;SQ,S5,SJ,SK;DQ,DA,C3,D4;D6,DK,C10,DJ;D9,SA,S2,S6;D2,H5,H9,H6;H4,HJ,HK,H8;H10,HA,H7,H2;H3,HQ,D7,S8"
