1569979560,3,17,3,"C8,CA,CJ,C2;S10,S3,SJ,S8;SA,SQ,S4,SK;CK,C9,D4,C6;CQ,DK,D9,C3;C5,D5,DQ,C7;DA,S5,D2,DJ;D10,S6,D3,D6;D8,S2,S9,C10;D7,H5,S7,C4;H7,H3,H2,HA;H4,H10,H9,HK;H8,H6,HQ,HJ"
1569979560,3,14,3,"C5,DJ,CK,C2;CJ,C8,C10,S2;C7,CA,D5,S5;S9,S10,S6,S3;DQ,D10,D8,D6;D2,DA,D9,D3;S8,SK,SA,S4;DK,SJ,D7,SQ;S7,CQ,C4,H9;H2,HA,H6,H7;C9,H4,H10,H5;C3,HJ,D4,HQ;C6,H8,HK,H3"
1569979560,3,15,3,"CJ,C4,C5,C2;D2,D7,D9,DJ;S8,SA,S4,SQ;C7,C8,CQ,C3;D5,D8,D3,D4;C9,S6,C6,CA;SK,S7,S2,S3;S10,S5,HJ,S9;H4,HK,H3,H7;D6,H6,DK,SJ;DA,H2,DQ,H8;C10,HQ,H5,CK;H9,H10,D10,HA"
1569979560,3,17,3,"C5,C3,C8,C2;D2,DK,D3,D5;S9,S10,SA,SK;S7,S4,DA,S8;C4,CQ,C6,CA;DQ,DJ,D9,S5;D7,D8,D6,SQ;SJ,S3,D10,S2;D4,CJ,C7,H2;H8,H7,H5,HJ;HQ,H9,CK,HA;H6,HK,H10,C10;H4,H3,C9,S6"
1569979560,3,13,3,"C6,CA,C7,C2;S9,S4,S6,S2;S10,SK,SA,S8;C5,D6,CJ,CK;DK,D10,D4,DJ;S5,S3,SJ,SQ;C4,D3,C10,C8;DA,D2,DQ,HJ;HQ,H6,H9,H10;D7,H3,D5,H7;H5,H2,C9,HK;H8,H4,D8,CQ;HA,S7,D9,C3"
1569979560,3,13,3,"C9,C8,C10,C2;D4,D3,D7,DA;S4,S8,SK,SA;D5,D2,DK,S6;S3,S2,S7,SQ;C4,C6,C7,CJ;D10,C5,DQ,D9;SJ,D6,S10,CQ;S5,H7,H10,C3;H9,H3,H4,H5;HJ,HA,H6,DJ;HQ,H2,CK,S9;HK,H8,D8,CA"
1569979560,3,6,3,"CA,CQ,CJ,C2;D9,D6,D8,D3;C7,S9,C9,CK;C10,S8,C5,SJ;C3,S4,C8,SQ;S7,SA,D10,S5;D2,DA,D7,D4;S2,S3,D5,C4;DJ,S10,DQ,DK;HQ,H10,H2,H7;H6,H4,HJ,HA;HK,S6,H3,H9;H5,C6,H8,SK"
1569979560,3,1,3,"C6,C9,C7,C2;D4,D5,D8,D2;SQ,SK,S2,SJ;DJ,D3,DQ,S3;S8,S4,S5,S6;CQ,C8,CA,C10;D7,DA,D9,S9;DK,S10,D10,SA;D6,CJ,C4,S7;C3,HA,C5,CK;H10,HJ,H7,H3;H6,HK,HQ,H9;H5,H4,H2,H8"
1569979560,3,4,3,"CQ,CJ,C7,C2;SA,S5,S2,SJ;S4,S3,S8,SQ;C9,CK,C10,C5;D5,D8,D9,D10;S7,SK,S6,DQ;C6,C4,C3,DK;D2,D3,D6,H8;H3,H7,H9,H6;HA,D7,H2,H10;HJ,DA,HK,H5;C8,S9,CA,H4;S10,DJ,HQ,D4"
