1569978646,3,4,1,"C2,C5,C8,CQ;S2,S9,SK,SJ;DA,D4,D7,DQ;DJ,DK,D8,C4;D3,D9,D2,C7;SA,S7,S5,S6;SQ,S8,S4,S3;D10,D5,C3,D6;CA,C10,C9,CK;H5,H3,HA,H2;H6,H4,H7,H8;H10,S10,HK,HQ;HJ,H9,CJ,C6"
1569978646,3,0,1,"C2,C6,C5,C3;D5,DK,D9,DA;S10,S4,S8,S7;C10,CJ,CA,C7;SA,SQ,SK,S5;S2,S9,S3,H4;C9,C8,H2,H5;C4,H10,D10,H6;CK,DJ,D3,HK;D8,D7,DQ,H9;H7,HJ,H3,H8;SJ,CQ,D4,HQ;S6,D2,D6,HA"
1569978646,3,17,1,"C2,C6,S8,C10;CA,C5,SQ,C3;S10,SK,SJ,SA;DJ,D7,DQ,D2;D3,DK,D8,D6;S4,S6,S9,S2;C4,CJ,C9,S7;CQ,C7,C8,D5;D9,D4,S5,DA;S3,CK,D10,HQ;H5,HA,HJ,H8;H4,H3,HK,H2;H9,H10,H6,H7"
1569978646,3,26,1,"C2,CA,C5,C4;S10,S6,S9,C8;D2,DA,D3,D4;CK,S2,CJ,C7;C3,S7,D6,C10;C6,D10,SQ,CQ;DJ,D9,DQ,DK;D7,D8,D5,SA;S8,SJ,SK,H7;C9,S5,HJ,H10;S4,H6,S3,H2;HA,HQ,H5,H9;HK,H3,H8,H4"
