1569980820,3,0,1,"CA,C9,C3,C2;S2,S8,SJ,S10;D3,D5,D9,D6;C7,C5,D8,CJ;S9,SK,D10,DA;SQ,DJ,DK,SA;C10,D2,D7,C4;C8,H9,HA,CQ;S3,HQ,D4,S6;HJ,H5,H3,S7;H10,H2,H8,S4;CK,H4,DQ,C6;H6,H7,HK,S5"
1569980820,3,19,1,"C4,CA,C5,C2;SJ,S8,S3,S5;DK,D3,DA,D6;SK,S7,S6,S4;CJ,CQ,C10,C3;C6,D5,CK,D8;S2,S10,SA,D10;DQ,D4,D9,D7;D2,SQ,C9,C7;DJ,H6,H10,C8;HA,H3,H9,HQ;H2,HK,HJ,H8;H4,H5,H7,S9"
1569980820,3,26,1,"C3,CA,CJ,C2;DK,DA,D4,D2;D10,DQ,D6,D9;C7,CK,C6,CQ;S8,S7,S9,SJ;D5,C5,D8,DJ;D7,S10,C4,SK;D3,S6,S4,SA;C9,H6,S3,C10;S5,HJ,H8,HA;S2,H2,H3,HQ;C8,H4,H9,H5;SQ,H10,H7,HK"
1569980820,3,7,1,"C4,C7,CQ,C2;DA,D4,D3,D8;S5,S8,SA,SK;D9,D5,DQ,DJ;S9,SJ,S7,S2;CJ,C9,S3,C6;S4,S10,S6,C8;D2,C3,D10,D6;SQ,HA,H8,H7;HJ,H9,HK,H3;CK,CA,H10,H2;D7,C10,DK,H4;H6,C5,HQ,H5"
1569980820,3,0,1,"C4,C6,CQ,C2;D9,DJ,D2,D8;S3,SQ,S10,D5;C8,S8,C9,CK;S5,S4,D7,SK;C5,D10,C10,C7;D3,D6,D4,S9;S2,CA,DQ,S7;S6,H7,H8,DA;HQ,H5,H2,HA;H9,H10,H6,SA;CJ,HJ,C3,H4;HK,H3,SJ,DK"
1569980820,3,4,1,"C8,C10,C4,C2;S6,S4,S9,SA;CK,CA,C9,C7;D6,D2,D7,DK;D4,D8,D9,D5;S7,S2,S5,SQ;CQ,C5,DA,C3;C6,CJ,DJ,S8;SJ,S10,D3,SK;D10,DQ,HA,HK;H9,H7,H10,H5;H8,H6,HQ,HJ;H4,H2,S3,H3"
1569980820,3,7,1,"C6,CK,C3,C2;S2,S8,S10,S7;D3,D10,D4,DJ;C10,C9,C5,C4;C7,CQ,CJ,C8;D9,DA,DQ,D6;SK,SA,S3,SQ;CA,S6,D7,SJ;D8,S9,D2,D5;DK,HJ,H10,HK;H5,H9,H2,H7;HQ,S4,H3,H6;H4,S5,HA,H8"
