1569979534,3,0,0,"CK,CA,C4,C2;S8,S6,S2,S5;S4,SJ,S3,SA;D3,D7,C3,D5;DQ,C7,DK,D8;D2,D10,C10,D6;C6,C9,CJ,C5;SK,D9,S7,S10;C8,DA,S9,CQ;DJ,H3,H10,SQ;H7,H4,H5,HQ;HA,H8,H2,H9;HK,HJ,H6,D4"
1569979534,3,1,0,"CJ,C8,C10,C2;C5,C3,C4,CK;SJ,S10,S7,S5;DK,D10,DA,DJ;S3,SQ,S8,D5;C9,S9,CA,S2;C6,D4,CQ,SA;D9,D3,DQ,D6;D7,SK,D2,H3;H6,HK,HJ,H4;H10,H2,H8,H7;HA,S4,D8,H5;H9,S6,C7,HQ"
1569979534,3,0,0,"CK,C3,CA,C2;S2,S5,S4,D4;CJ,C7,CQ,C9;D9,DK,D6,DJ;S9,S3,D2,S6;SA,SQ,DA,S10;C10,C4,D10,S8;D8,DQ,D3,SK;D7,D5,C8,SJ;C5,H10,S7,H4;H6,H5,HK,H3;HQ,HA,H2,HJ;H9,H7,C6,H8"
1569979534,3,0,0,"C6,C8,C5,C2;D2,D8,DQ,DK;SA,S5,S4,S7;S6,SJ,SK,S2;C9,CQ,CA,D3;DJ,D5,D6,D10;D7,SQ,D4,DA;S9,S10,C3,D9;CK,CJ,S3,C4;S8,HK,H8,H4;H3,H2,HJ,HQ;H10,C7,H6,H5;H9,C10,H7,HA"
1569979534,3,1,0,"C9,CJ,C5,C2;C7,C3,CK,CA;SJ,S2,SA,SQ;DK,D2,D10,D4;D3,D7,D5,DQ;C10,C6,C8,D6;S3,S7,S10,S4;D8,DA,D9,DJ;C4,H9,H10,CQ;HK,HQ,H4,H7;H5,H8,H6,H3;S6,HJ,S9,SK;S5,H2,S8,HA"
1569979534,3,4,0,"C6,C7,CK,C2;S5,SK,S6,S9;D8,D7,D4,D10;SA,S8,S7,C10;DQ,DJ,C3,D2;SJ,SQ,S2,C5;CJ,CQ,CA,C8;S10,S4,S3,D9;H6,HJ,HA,H3;C9,DA,H5,HQ;C4,H9,H8,H10;D3,D6,HK,H4;DK,H2,D5,H7"
1569979534,3,4,0,"C8,CA,C4,C2;C6,C5,C7,C9;DK,D5,DJ,D3;D9,DA,D2,D6;C10,DQ,CJ,C3;SK,S4,S10,SQ;S9,S5,SA,S7;D8,D10,D7,CK;SJ,S2,S8,CQ;HK,H2,H4,HA;H9,H7,H5,HJ;H8,S6,HQ,H6;D4,S3,H3,H10"
1569979534,3,0,0,"C7,CK,CA,C2;D5,DQ,D2,D7;CQ,C6,C9,C10;CJ,S4,D3,C8;DJ,D10,DK,D4;S2,SQ,S5,S10;S7,S9,S8,SA;SJ,S3,D8,SK;DA,S6,D6,D9;HQ,H2,HK,H9;H7,HJ,HA,H5;H10,C3,H8,H6;C5,C4,H3,H4"
1569979534,3,15,0,"CQ,C3,C10,C2;DJ,D10,D8,D5;SA,S3,S5,SJ;S10,C4,S7,CA;D4,D3,D9,D7;SQ,C5,C8,S6;S9,DQ,CK,S4;S8,CJ,C9,SK;DK,HQ,DA,HJ;H9,H8,H5,D2;H3,H6,H7,S2;HK,H2,C7,H4;H10,HA,D6,C6"
