1569980682,3,16,0,"C9,C10,CJ,C2;SQ,S7,SK,S5;D9,D8,DA,DQ;C4,C3,CK,D6;DK,S3,D5,D3;DJ,S4,S8,D4;C7,CA,C5,D2;S2,S10,C6,D10;S9,CQ,SA,D7;C8,H6,HQ,HA;HJ,HK,H3,H8;H9,S6,H5,H2;H7,SJ,H4,H10"
1569980682,3,13,0,"C5,CQ,C4,C2;SQ,S8,SK,S9;D10,D4,D9,D6;C9,CA,C3,D5;D3,DK,DA,DJ;CK,CJ,C8,S7;S5,S2,S6,SA;D2,D7,D8,C10;C6,C7,H2,HA;S4,S3,H6,H8;SJ,H3,HQ,H7;S10,H4,H5,H9;HJ,HK,DQ,H10"
1569980682,3,0,0,"C7,C6,CA,C2;D10,DQ,D9,D3;S2,S3,C8,SQ;S10,S5,C9,S8;DA,DK,D2,D6;S9,D8,C4,SK;C10,CK,CQ,SA;D5,D4,DJ,S7;S6,D7,C5,S4;C3,H2,CJ,HA;HQ,H10,H9,H7;H5,H6,H3,H4;HJ,SJ,H8,HK"
