1569978287,3,13,3,"C2,C8,C9,C3;S6,S4,SQ,S3;C10,C5,CK,CQ;D7,D5,DQ,D4;S10,S5,S7,SK;DA,D8,DK,D10;D3,D6,CJ,S2;SJ,S9,S8,SA;D2,C6,C7,H3;D9,C4,CA,HJ;DJ,H5,HA,H6;HK,HQ,H7,H9;H10,H4,H8,H2"
1569978287,3,19,3,"C2,C6,CQ,CJ;D8,DA,D7,D6;CA,C7,C3,C10;S3,S10,S6,S2;D5,D9,D2,D10;C5,CK,D4,C4;SK,S7,S9,SJ;D3,S5,C9,DQ;DJ,S8,SQ,DK;SA,S4,H4,H8;H3,H6,H10,H2;C8,HJ,H7,HQ;HK,HA,H9,H5"
1569978287,3,8,3,"C2,C6,CQ,C9;S2,SK,S4,S7;CJ,C4,CA,C5;DQ,D9,D3,D6;D10,D7,DA,DJ;C7,SJ,D4,C10;DK,D2,CK,D5;S9,S10,SQ,S6;C3,S5,H4,H8;S3,S8,HJ,H10;HK,H9,H6,H3;H5,SA,H2,HQ;H7,HA,C8,D8"
1569978287,3,26,3,"C2,CA,CK,C9;D7,DA,DK,C8;D3,DQ,DJ,C5;SJ,SQ,S7,S6;S5,SK,S2,S8;CJ,C6,C3,D10;C10,C7,C4,S4;S9,SA,S3,D9;S10,H9,D8,D2;D5,H4,D4,H6;CQ,H10,HQ,HK;HA,H5,HJ,H7;H8,H3,D6,H2"
1569978287,3,13,3,"C2,CJ,CQ,C9;DJ,D7,DK,D10;S4,SK,S6,SJ;D8,DA,D5,D3;S5,SA,S10,S7;CK,C8,C7,C6;S8,S3,D2,S2;D9,S9,D4,DQ;D6,SQ,C4,C10;H3,H2,H7,H8;C3,HA,C5,H4;HQ,H6,HJ,H5;HK,H10,H9,CA"
1569978287,3,13,3,"C2,CQ,C4,C8;D4,D8,D10,D5;SQ,S9,SK,S2;CK,C5,CA,C3;D6,DQ,DA,D9;CJ,S6,DJ,C10;C7,D7,SA,S4;C9,D3,S8,S5;C6,SJ,S10,S7;H5,H3,H2,HA;H10,H9,H6,HJ;H7,HQ,H8,H4;D2,DK,S3,HK"
1569978287,3,0,3,"C2,C4,C5,C6;SQ,S10,SK,SJ;D5,D10,D6,D9;DK,DQ,D2,D8;S9,S4,SA,CJ;S2,S8,D7,DA;CQ,CK,C3,C8;S7,CA,S6,DJ;S5,C7,C9,D3;S3,H10,C10,H7;D4,H9,H5,H2;HJ,HA,HQ,H3;HK,H4,H8,H6"
1569978287,3,13,3,"C2,C7,S9,C3;D4,D8,C4,DA;S5,SQ,SJ,S10;S4,S8,SA,SK;D7,DJ,CA,D6;DK,CJ,D2,D3;S7,C10,S6,C9;D9,C5,D5,DQ;C8,S2,CQ,C6;HJ,H5,H7,H3;H8,HQ,HK,H6;S3,H2,CK,H4;D10,H9,HA,H10"
