1569980752,3,1,1,"CQ,CJ,D9,C2;DQ,D6,D2,D8;S3,S6,SJ,SQ;S10,DJ,S9,S8;C5,CK,D7,C10;D4,C6,DA,D5;S2,SA,DK,S4;C4,C7,C3,HJ;H6,H7,HQ,HA;H2,HK,H4,H3;C9,H10,H8,C8;CA,D10,H5,SK;S7,D3,H9,S5"
1569980752,3,0,1,"CJ,C4,C3,C2;SK,S7,S8,S9;SJ,SA,S2,C10;D6,D5,D2,DQ;S5,S6,CK,S4;D4,D3,D9,DK;C7,C9,D8,C6;C5,CA,D10,C8;H8,HK,H6,HA;S10,DA,HQ,H10;SQ,CQ,H2,H4;S3,H7,H3,H9;H5,DJ,D7,HJ"
1569980752,3,15,1,"CK,C5,C4,C2;D5,D6,DK,DA;S9,S4,S6,S8;SJ,S7,SK,S10;D9,D10,DJ,D4;CA,C7,D2,C8;C6,C10,D7,CJ;S5,CQ,C9,SQ;D3,HJ,C3,H10;H3,H9,H7,H6;H8,HQ,S2,H2;H5,SA,D8,H4;HA,S3,DQ,HK"
1569980752,3,1,1,"C9,C6,C8,C2;DQ,D5,D2,D4;SJ,S3,S10,SK;CK,C5,C10,C3;C7,CJ,CQ,C4;D9,DK,D7,DA;D3,D8,D6,DJ;CA,S5,SA,H7;H8,H6,H9,H4;S2,S7,HJ,S6;H10,H2,H3,D10;H5,HK,HQ,S8;HA,S4,SQ,S9"
1569980752,3,4,1,"CK,C8,CJ,C2;D5,DA,D4,DQ;D3,DJ,D7,D2;SK,S3,S7,SA;D9,C5,S6,DK;S8,S10,SQ,S4;S2,C10,S9,S5;CQ,C3,C6,SJ;D8,H3,D10,H4;H2,H10,HK,H6;H7,C7,H5,HQ;HJ,C4,D6,H8;HA,CA,C9,H9"
1569980752,3,4,1,"C7,C8,C10,C2;S6,SA,SK,SJ;C3,CK,C5,CJ;DK,D9,D4,DQ;D8,D6,DJ,D7;C4,C6,CA,CQ;D10,DA,D2,D3;S5,SQ,S7,S3;C9,H3,S2,S10;H2,H10,HA,HK;H9,H4,H7,HQ;HJ,H8,D5,S8;H5,H6,S9,S4"
1569980752,3,10,1,"C7,CQ,CA,C2;S6,SQ,S8,SK;DK,D4,D6,D2;DA,D7,DJ,D8;DQ,C8,D10,D9;CK,C6,C3,C4;D3,S2,C9,S7;D5,S5,C10,SA;H3,H10,H4,S3;HK,H9,H5,S10;H8,H2,HQ,C5;H7,H6,HA,S4;SJ,CJ,HJ,S9"
1569980752,3,4,1,"C6,C10,C3,C2;D6,D4,DA,DK;C5,C8,C4,CQ;SJ,S7,S9,S10;D7,D10,DJ,D5;S5,S8,S4,S6;S2,CK,D8,SQ;SK,DQ,S3,D9;SA,D3,C9,D2;H9,HJ,H3,H4;H5,HA,H2,HQ;H6,H10,H8,HK;CA,CJ,H7,C7"
