1571051421,3,0,1,"CA,C4,CQ,C2;DJ,D4,D6,D8;CK,C10,HQ,CJ;S8,S3,S2,SA;C8,HA,C3,C7;D9,D2,S10,DQ;D10,DA,S5,D3;H9,H3,HK,H2;H7,H4,H6,H8;S9,S7,SK,SJ;H5,C6,HJ,H10;S6,D5,C5,S4;DK,C9,SQ,D7"
1571051421,3,26,1,"C6,CJ,C3,C2;CQ,C5,C4,C9;SK,S4,S9,S7;C8,C10,S8,C7;S2,SJ,SQ,SA;D5,D3,D9,D2;DK,S6,S3,S5;CK,D7,DJ,D8;HA,H6,H4,CA;H5,H7,H9,HK;D6,H2,DA,H3;D4,H8,D10,HJ;S10,H10,DQ,HQ"
1571051421,3,0,1,"C9,CA,CQ,C2;CK,C10,C5,C7;S10,S8,CJ,S9;SK,HJ,S4,S6;DJ,DK,D2,D7;C3,DA,D9,D6;H4,H10,H2,HK;H3,S7,SJ,SQ;H7,S5,H5,HQ;H8,D4,H6,H9;D10,D8,HA,D3;S2,C8,C4,C6;S3,DQ,D5,SA"
1571051421,3,4,1,"C6,CK,C4,C2;D3,DJ,D9,D5;H6,C9,C7,CQ;S3,S2,S5,S7;DK,DA,D4,D2;H10,H9,HJ,H8;SA,SQ,SJ,S6;HK,H4,S10,H3;D10,D6,HQ,D8;D7,C8,CJ,C5;CA,S4,C3,C10;S8,H7,HA,SK;S9,H5,H2,DQ"
1571051421,3,4,1,"C6,CK,CQ,C2;C9,CJ,SQ,C3;S2,SK,SA,S9;SJ,S3,S8,S4;S7,D9,S6,S5;DA,D7,D8,D5;C10,C5,H9,C4;C7,HJ,HA,C8;D4,DJ,D3,DQ;H3,H5,H7,H6;HQ,HK,H4,H10;DK,H8,D6,S10;D2,H2,D10,CA"
1571051421,3,0,1,"CA,C5,C6,C2;D7,D4,D9,DK;D5,DQ,D6,D2;S8,SJ,S7,S6;D8,H8,DJ,DA;CQ,C3,CJ,C8;H6,H4,HK,H7;HJ,SK,C7,C10;HQ,H10,SQ,D10;HA,H2,H3,H5;S5,S4,D3,S10;S2,C4,CK,S9;S3,C9,H9,SA"
1571051421,3,0,1,"C4,C10,CA,C2;SJ,S9,S4,S8;CK,C3,C6,C9;D5,D10,DK,D4;H8,C8,CJ,C5;D2,D9,SK,DJ;DQ,HJ,S5,D6;S6,S7,SQ,SA;H7,H2,H10,H5;HQ,H4,H6,D8;S10,S3,HK,D7;HA,S2,C7,DA;CQ,H3,H9,D3"
1571051421,3,6,1,"C6,CK,C8,C2;S9,SQ,S3,SK;S4,C5,SA,S5;D4,C9,C10,C3;DA,D3,D10,D2;S8,S6,D6,S7;DK,D7,D5,D9;HK,D8,DQ,DJ;H7,H4,HJ,H9;H6,C4,H8,CJ;H10,CA,HA,C7;H5,HQ,S10,CQ;H2,H3,S2,SJ"
1571051421,3,2,1,"C5,CJ,C7,C2;SJ,S5,SA,S10;D5,D2,D4,D3;S2,SQ,S6,S4;DJ,DK,H2,D8;HQ,CA,H4,H6;C10,CQ,CK,C6;S9,S3,H10,S7;D7,H8,C9,C3;HJ,D6,H7,H9;S8,HK,SK,C4;D9,H3,H5,HA;DA,D10,DQ,C8"
