1569980797,3,4,0,"CK,C4,C10,C2;DJ,D8,D5,D3;S5,S7,S10,S8;D7,D6,DK,D10;SQ,SK,SJ,SA;CQ,C3,C7,CJ;S3,S6,S4,S2;D4,D9,DQ,DA;C5,H7,C6,C8;H3,HK,H4,HA;H2,H6,HJ,H9;H5,H10,C9,HQ;S9,H8,CA,D2"
1569980797,3,0,0,"S8,CK,C10,C2;D7,D4,D5,DJ;DA,D9,D3,D10;D2,C3,C8,DK;S3,DQ,S5,SK;S9,D8,SJ,S6;CQ,HA,C5,C7;H2,H10,S7,HQ;S10,H5,S4,SA;H3,H4,CJ,H8;SQ,H6,C6,H9;H7,HK,D6,C4;HJ,S2,C9,CA"
1569980797,3,0,0,"C3,C10,CQ,C2;D10,D9,D4,DA;SJ,S10,S7,S2;S5,DK,SQ,S8;C7,CJ,CK,C5;D3,D6,DQ,D5;CA,C8,D7,C9;S9,D8,S4,S3;D2,DJ,SA,S6;H6,HJ,H9,H2;HQ,H5,HA,H3;SK,H7,H8,H10;C6,H4,HK,C4"
1569980797,3,0,0,"CA,CK,C6,C2;C10,CJ,C8,C3;SK,S9,S3,S8;D5,D4,D3,DQ;C9,C5,C7,D9;SA,D2,S7,S10;CQ,D10,C4,DJ;S4,D6,DA,S2;SQ,H4,H3,SJ;HA,H2,H5,H6;H8,HQ,HJ,S6;D7,HK,DK,H9;S5,H7,D8,H10"
1569980797,3,0,0,"CA,C5,C10,C2;DJ,D3,DA,D10;S5,S6,SJ,SA;C8,D9,CQ,C3;S8,S2,C6,S9;C9,CJ,D8,C4;DQ,DK,D2,CK;SK,S10,SQ,C7;H8,HJ,H4,H7;D7,D6,HK,H9;H3,D4,H10,H2;HA,S4,S7,H5;H6,S3,D5,HQ"
1569980797,3,1,0,"C7,C4,CQ,C2;SQ,S3,S8,S4;S5,S10,S6,SK;D9,DQ,DK,D4;S9,C9,S7,SJ;DJ,D5,DA,D8;CA,CK,D3,C5;C8,C6,H7,C3;H5,H10,H8,H9;H4,H6,H2,HJ;SA,HQ,D10,H3;D7,HA,D6,D2;S2,HK,C10,CJ"
1569980797,3,4,0,"C9,C6,CA,C2;D6,D4,D5,D2;C4,C8,CJ,C10;S10,S2,SK,S7;S8,SJ,S4,S9;C5,C3,C7,DJ;D7,DA,DK,D9;DQ,D10,D3,D8;H7,HK,H10,H2;CQ,CK,H8,H6;H9,HQ,HA,H4;H3,SA,SQ,HJ;S6,S3,S5,H5"
1569980797,3,0,0,"CQ,C10,CA,C2;S2,S7,S5,S10;D6,D7,DA,D5;D9,D10,D2,D4;CJ,C9,DJ,C8;SQ,D8,S8,SK;S3,C4,SJ,SA;C6,HQ,D3,C3;CK,H10,H3,C5;S9,H2,HJ,H9;S6,HA,H5,H8;C7,H4,HK,H6;S4,H7,DK,DQ"
1569980797,3,0,0,"C3,CQ,C4,C2;SA,S5,SJ,S9;C7,C8,C5,C10;DJ,D9,DA,DK;SK,S8,SQ,S2;C6,CK,CJ,D8;S7,CA,S6,S10;DQ,D10,D6,D7;D4,D5,D3,S3;C9,H7,H2,H9;H3,H8,HA,HJ;H6,HK,H10,H4;HQ,D2,H5,S4"
1569980797,3,7,0,"CA,C8,C10,C2;S5,S10,C6,S8;D3,D6,DQ,DA;D2,DK,D4,D5;C4,CK,CJ,C3;C5,C7,CQ,D9;SJ,D10,S3,SK;S6,D7,S4,SQ;D8,DJ,C9,S2;H5,H9,HQ,H3;S9,HK,H4,SA;HJ,HA,H7,H6;H10,S7,H8,H2"
