1569978624,3,4,1,"C2,CA,CK,C10;D7,D4,D5,DJ;S6,S3,SK,S7;D8,DQ,D10,D6;C5,C8,C6,C7;D3,D9,C9,D2;S8,SA,S10,S9;C4,C3,CJ,CQ;S2,S5,H9,SQ;H3,H8,H2,H5;H7,HJ,S4,H4;DK,H6,DA,HK;SJ,HQ,H10,HA"
1569978624,3,11,1,"C2,CQ,C4,C6;S6,SA,S4,SJ;D3,DQ,DA,DK;S3,S8,SQ,S10;S2,S7,D8,CJ;S9,SK,CK,D9;C7,C10,C8,C9;D6,DJ,C5,D2;D7,H7,D4,H4;C3,HK,D10,CA;HA,H6,H5,H9;HQ,H8,D5,H10;HJ,H2,S5,H3"
1569978624,3,1,1,"C2,C4,C9,CA;S6,S5,S7,SK;CQ,CJ,C5,C6;DJ,D10,D6,DK;S9,S3,SJ,SQ;D9,D3,D7,D5;D4,CK,D2,DQ;SA,C8,S10,S4;S2,H3,C7,HQ;S8,H10,HJ,H4;D8,C3,DA,H6;H2,H7,HA,H9;H8,HK,C10,H5"
1569978624,3,13,1,"C2,CK,CQ,C5;S9,S4,S3,SJ;C9,C7,CJ,CA;D3,D9,D2,DJ;C4,C3,C8,C6;D6,D10,D7,D5;SQ,S2,S6,SA;D4,S8,DQ,D8;S10,S5,HJ,DA;C10,H8,H2,HQ;SK,H4,H9,H6;S7,H3,HA,H10;HK,H5,H7,DK"
1569978624,3,0,1,"C2,C3,CQ,C10;C7,CJ,C4,C8;SA,S7,S6,S4;DJ,D9,D5,D2;D6,DK,D4,DA;C5,D10,C6,CA;DQ,D7,S10,D3;S2,SJ,HQ,S9;H7,H4,H8,HJ;D8,H6,S5,H3;CK,H10,SK,S3;C9,H2,HK,H9;HA,H5,S8,SQ"
1569978624,3,3,1,"C2,CQ,C9,CK;S6,SJ,SQ,S10;D6,D9,D5,D4;D10,DK,D3,DA;C7,C4,C5,C8;SK,S3,D7,S7;S4,SA,CJ,S9;DQ,C10,D2,D8;S2,HJ,DJ,S5;S8,H2,H6,CA;C3,C6,H5,H7;H3,HA,HK,H9;HQ,H8,H10,H4"
1569978624,3,0,1,"C2,CA,C7,C9;D5,D4,D10,D7;S7,SA,SJ,S8;C6,CK,C8,S10;C10,S5,C5,DQ;C4,S2,CQ,D3;S3,S9,DJ,S6;SQ,C3,SK,S4;D2,H7,DK,D8;HA,H6,H8,H2;CJ,H5,H10,H3;DA,H9,HQ,D6;H4,HJ,HK,D9"
1569978624,3,0,1,"C2,C8,CK,C3;D5,D10,DK,D2;S5,S8,SA,S7;CQ,C6,C4,C9;S10,SK,S3,S4;SJ,S6,C5,S2;DJ,DA,D8,D4;CJ,C7,H7,C10;D9,DQ,H2,D7;HA,H10,HQ,H4;D3,H9,S9,D6;H3,HJ,HK,H8;H6,H5,SQ,CA"
1569978624,3,4,1,"C2,C4,CA,C8;D10,DJ,DK,DA;C6,C3,C10,CJ;S6,SJ,S5,S4;D9,D5,D8,D7;DQ,D2,D3,SK;CK,C7,S2,C9;S9,SA,D4,S8;S3,D6,S7,S10;SQ,HJ,HA,CQ;C5,H7,H4,H8;HQ,HK,H6,H9;H2,H3,H10,H5"
