1570124976,3,13,2,"CJ,C8,C7,C2;D9,DA,D10,DK;S5,S6,S4,S9;SJ,SA,S2,S8;C5,CK,C9,HJ;C6,C10,SK,D6;HK,H7,H6,H9;H2,H5,H4,H3;S10,C4,S3,SQ;D5,DJ,D2,D8;D3,HQ,CQ,D7;S7,H10,HA,CA;D4,DQ,H8,C3"
1570124976,3,18,2,"C7,C9,CJ,C2;S8,SJ,S10,SQ;C10,CA,C4,C8;S4,S7,S5,S2;C5,SA,C3,CK;C6,CQ,HQ,D6;HJ,H8,HA,H5;H6,H9,H3,H7;H2,H10,HK,D3;SK,DK,S3,S6;S9,D2,DJ,D5;D9,D4,D7,DQ;D10,DA,H4,D8"
1570124976,3,2,2,"C4,C7,CJ,C2;CQ,CK,C8,CA;C10,C3,D3,H2;H3,HJ,HK,HQ;H8,H7,H6,H10;D6,D5,D9,D2;S10,SQ,S2,S4;S7,SK,S8,C5;DQ,S9,DK,D7;D4,DA,HA,D10;S5,S3,SA,C9;H4,D8,H5,DJ;H9,SJ,S6,C6"
1570124976,3,24,2,"CQ,CA,C7,C2;C3,C8,C6,C10;DA,D6,D10,DK;SK,SA,S9,S6;D9,D7,D2,SJ;C5,CJ,H3,CK;C9,H7,D5,S2;H4,HJ,H2,H5;HA,H9,H6,D4;H8,S4,SQ,DJ;H10,S3,D3,DQ;HK,S7,S8,S5;HQ,C4,S10,D8"
1570124976,3,5,2,"CK,CA,CJ,C2;S5,S7,SQ,S10;S8,S6,S2,SA;C8,C6,C3,C7;D3,D5,D4,DA;D8,D7,DJ,DQ;D10,C5,D2,SJ;S3,SK,H10,S4;HA,H3,HQ,H5;H2,H7,H4,H6;DK,C4,D6,CQ;D9,H8,C10,S9;HK,HJ,C9,H9"
1570124976,3,4,2,"C4,CK,C8,C2;C3,CJ,C7,C10;C6,C9,HK,CQ;H2,H6,H5,H3;H9,HA,H4,HQ;D4,DA,DJ,D5;D10,D3,D6,DQ;HJ,H10,H7,D8;H8,DK,S6,S9;S10,SJ,S3,S7;D2,SA,CA,D7;SK,S8,SQ,S5;S4,D9,S2,C5"
1570124976,3,4,2,"C5,C7,CA,C2;C9,CK,C8,C6;D10,S3,D8,D2;SK,S8,S10,S4;DQ,H6,D4,D5;H10,H5,HA,HK;HQ,H2,SA,H9;H4,HJ,S5,H8;S2,D3,SJ,S6;C10,S7,C3,CJ;C4,CQ,DK,D9;S9,DA,DJ,D7;SQ,H3,D6,H7"
1570124976,3,0,2,"CK,C10,CQ,C2;CJ,C8,DA,C9;DJ,D9,D10,D2;DQ,SK,D5,D3;C5,C6,S10,CA;S9,S8,SA,S5;S7,SJ,S3,S4;C7,H5,C4,S2;H3,HQ,H6,HK;H2,H9,H8,HA;D4,D8,D7,H7;D6,DK,C3,SQ;HJ,H4,S6,H10"
1570124976,3,3,2,"C7,CJ,CA,C2;C3,C5,C10,SJ;S6,S7,SQ,S8;S2,S4,S5,SK;C8,D4,CK,C9;D9,D3,D6,DQ;D2,DA,D7,D5;CQ,C4,S10,H3;H4,HK,H2,HA;H10,H9,H7,HQ;HJ,SA,H5,C6;H6,S9,H8,DJ;DK,S3,D8,D10"
1570124976,3,0,2,"C3,C8,C10,C2;D9,D3,D6,D5;D8,D10,DK,D7;SA,S9,SJ,S7;S10,S6,S2,S8;DJ,DA,HJ,D2;CJ,CA,C6,CQ;C7,C4,H4,C9;H3,H7,H2,HA;H6,HQ,DQ,S5;H9,H8,S4,D4;HK,H5,SK,CK;H10,S3,C5,SQ"
