1570031193,3,25,3,"DK,CK,C3,C2;D9,DJ,D4,DA;D2,D8,D10,D6;S2,S10,S5,SJ;C6,SQ,C10,CQ;CJ,D7,CA,C4;S3,SA,D5,S6;S4,HA,S8,S9;HQ,H9,HK,H7;C9,H3,H6,C5;C8,H4,H8,DQ;C7,HJ,H2,H5;SK,H10,S7,D3"
1570031193,3,0,3,"CK,C8,C3,C2;C4,C9,CQ,CA;DJ,D8,D10,DQ;S4,S10,S6,S5;C10,CJ,D4,C7;S2,D3,SA,S9;D5,C6,D9,DA;DK,D2,H10,D7;H2,H8,H3,H7;HQ,H4,HK,S8;H9,HA,HJ,SQ;H6,SJ,S3,SK;H5,S7,C5,D6"
1570031193,3,6,3,"C10,C3,CJ,C2;C6,CK,C8,C5;D4,D3,D10,D9;D8,D5,DK,DA;S8,SA,S4,S2;S10,SQ,SK,S9;D2,D7,S3,DQ;SJ,DJ,S6,S5;CA,CQ,H4,H7;S7,HK,H3,H8;HQ,H6,H5,HA;H2,C4,HJ,C7;H9,H10,D6,C9"
1570031193,3,0,3,"C6,C5,C7,C2;SJ,S6,S8,S5;DQ,D6,D3,D8;S7,CJ,S4,S9;CK,CQ,D4,C4;C9,C10,D9,D2;D10,S2,D7,DK;CA,S3,DA,C3;C8,SA,D5,DJ;H6,HK,H10,HJ;HA,SQ,H8,H2;HQ,SK,H7,H9;H3,S10,H5,H4"
1570031193,3,18,3,"C5,C3,CA,C2;S8,S5,S6,S3;S9,SJ,CK,S2;C4,DK,C7,C8;C10,D6,C6,CQ;D5,D10,DA,D3;S10,D4,DQ,SA;S7,DJ,CJ,SQ;SK,D8,D9,C9;S4,H9,H2,H3;H4,HK,H7,H8;HQ,H6,HA,HJ;D2,H5,D7,H10"
1570031193,3,9,3,"C7,CJ,CQ,C2;C10,CK,DK,CA;SJ,S8,S5,S2;C8,C3,S9,C4;C9,C5,S3,D5;SQ,C6,S7,S6;DJ,D8,D3,D10;D4,D6,DQ,D2;SK,H5,S4,H9;H6,HJ,H2,H8;HQ,H10,DA,HK;S10,H7,D7,H3;SA,HA,D9,H4"
1570031193,3,15,3,"CJ,CA,C10,C2;S3,S4,S7,SK;S5,SA,S2,S8;C4,C3,SQ,C7;C9,CQ,C6,DK;D8,D7,D3,D6;D2,D10,C8,DA;S10,DJ,S6,SJ;CK,C5,HK,H7;H8,D5,HA,H3;H9,DQ,H4,HQ;HJ,D9,H10,H5;S9,D4,H2,H6"
1570031193,3,14,3,"CA,D4,C9,C2;C8,D7,C3,C4;C10,S9,S4,C7;D9,DK,D5,D10;S5,S2,S8,SK;CJ,S10,CQ,SA;C5,SQ,HJ,C6;H6,H10,H4,HK;H3,DA,H5,D6;H9,D2,H8,D8;SJ,S3,H2,DJ;H7,S7,HQ,D3;HA,CK,DQ,S6"
1570031193,3,13,3,"C3,C5,C10,C2;CA,C7,C4,CK;DQ,DK,D6,D3;SJ,SA,S2,S5;CQ,C8,C9,SQ;SK,S4,D5,S7;D9,DJ,D10,D8;S6,S8,HK,S9;HA,H7,HJ,H9;H2,DA,H10,H6;H4,HQ,CJ,H3;S10,S3,C6,H8;D4,D2,D7,H5"
