1570124962,3,0,0,"CK,CA,C3,C2;DK,D7,D3,D4;S3,S8,S6,SJ;S7,SQ,S5,S9;DA,D2,HJ,D9;D6,D8,HK,DJ;H4,H7,H6,H10;HA,H5,H9,SA;HQ,H8,DQ,CQ;S4,S2,SK,CJ;D10,H2,C6,C8;D5,C4,C5,C9;S10,H3,C10,C7"
1570124962,3,4,0,"CJ,C7,C8,C2;DA,D8,D2,D5;C6,CQ,C4,CA;S7,S10,S5,S9;DJ,D6,DQ,D7;C5,CK,S6,SJ;D3,D10,D9,DK;S8,H2,H9,SA;H7,H6,H5,H10;C3,SK,SQ,C9;D4,C10,HQ,S3;HJ,H4,HA,H3;S2,H8,HK,S4"
1570124962,3,14,0,"C6,CQ,CK,C2;DQ,D5,D10,DK;S10,S5,S2,S6;SJ,S7,D9,S4;C3,C10,C5,C9;SA,SQ,H2,SK;D6,CA,DA,DJ;C4,S8,CJ,H6;H4,HJ,H10,HK;D4,H5,D3,D2;D7,H7,H8,H3;S9,C7,C8,S3;D8,HQ,HA,H9"
1570124962,3,7,0,"C7,CK,CJ,C2;S8,SA,SK,S3;DA,D10,D5,D8;S5,S2,SQ,HQ;C5,H10,C3,C8;D7,D4,D9,D2;H9,HJ,H4,H8;H2,H6,H3,HK;S6,H5,S10,S9;D6,C9,DJ,C10;DK,DQ,SJ,C6;D3,H7,CQ,CA;HA,S4,S7,C4"
1570124962,3,8,0,"C6,CA,CK,C2;D6,D9,D10,DQ;CJ,C8,D5,C9;C7,C3,H2,C4;CQ,DJ,D2,C5;C10,HQ,S4,S9;S5,SJ,S8,SQ;H6,HJ,DA,HK;D3,S7,DK,D8;HA,H7,H8,D4;H3,H10,H5,S2;D7,H4,H9,S3;S10,S6,SA,SK"
1570124962,3,1,0,"C9,CQ,CA,C2;D2,D6,DJ,DA;S7,S2,S6,S5;C10,DK,C3,C7;CK,SQ,CJ,C8;D8,D10,DQ,D3;C6,H10,H9,S4;C5,H6,H5,H4;D5,HA,S10,D9;S3,D7,H3,S8;S9,SJ,HJ,H8;SA,SK,HK,H7;D4,HQ,C4,H2"
1570124962,3,5,0,"C7,CK,CJ,C2;S10,S3,S5,SA;S4,SQ,S2,S9;C4,C3,C9,C5;CQ,H3,C6,H10;HA,D6,H5,H8;DK,D7,D8,DQ;CA,SK,C10,H4;C8,SJ,D9,D4;D2,D5,D3,DA;H9,H7,S8,HK;DJ,HQ,HJ,D10;S6,H6,H2,S7"
1570124962,3,0,0,"CA,CJ,C4,C2;D10,DQ,D9,D7;S6,S4,S2,S10;S3,S7,S9,S8;CK,C5,C7,C10;D3,D8,D4,D5;DA,H6,DJ,D2;HQ,HJ,H5,H7;DK,H3,D6,CQ;H4,H2,S5,HA;HK,H10,H8,SK;H9,SJ,C6,SA;C9,C3,SQ,C8"
