1571051244,3,4,3,"C10,C4,CK,C2;C8,C9,HK,CQ;SQ,SK,S10,S3;H4,H8,H3,H10;S4,S8,S7,SA;D8,S6,D7,SJ;HA,C5,C3,C6;H6,H7,HQ,H5;S5,DQ,DK,C7;D9,D6,D5,D4;H9,S2,D2,H2;D3,CA,S9,DA;D10,CJ,HJ,DJ"
1571051244,3,0,3,"CA,C8,CQ,C2;C4,C3,C7,C6;C9,H2,CJ,CK;D9,D5,D3,D10;H5,DQ,HJ,H7;C5,S5,D6,C10;S10,S8,S7,S9;DJ,S3,S4,S6;H4,SK,H6,H3;D8,D4,DA,D2;HK,S2,DK,SQ;HQ,SJ,H9,D7;H8,HA,H10,SA"
1571051244,3,19,3,"CJ,CA,CK,C2;S6,HA,S5,S3;D10,SK,SA,S2;S4,H10,S10,SJ;C7,C9,C4,CQ;H8,HQ,H4,H6;DK,D3,DQ,D4;H2,H9,H5,H3;D6,S7,S8,S9;D5,C5,HJ,D2;C3,H7,D8,DJ;C10,HK,DA,D9;C6,C8,SQ,D7"
