1569982476,3,0,2,"CQ,C6,C9,C2;D10,DK,D4,D8;D5,D3,D6,D2;SA,S10,S3,S4;C8,CK,CJ,CA;SJ,S8,S2,D7;S5,S6,S9,D9;C3,C5,C10,S7;DA,SK,SQ,DQ;DJ,HA,C7,H4;H9,H5,H3,HK;HQ,H2,H6,H10;HJ,H8,C4,H7"
1569982476,3,0,2,"C10,CK,S7,C2;SK,S6,SQ,S10;SA,S3,D10,S2;S9,D3,C5,S4;S8,D8,C8,C7;CQ,D6,C4,C3;DQ,DJ,D5,DK;CJ,D2,C6,CA;SJ,D4,D9,C9;S5,H9,DA,H3;H10,HQ,HK,H6;HJ,H2,H4,H5;H7,D7,H8,HA"
1569982476,3,6,2,"CK,C10,CJ,C2;DA,D8,DK,D2;S8,SQ,S4,S3;C4,CA,C6,S10;C5,C7,C3,SA;S9,SK,S5,S7;D10,D5,C8,DQ;D3,C9,D9,S2;SJ,HJ,S6,H6;D6,HQ,D4,H8;H9,HK,H4,H3;CQ,D7,H10,H7;H2,DJ,H5,HA"
1569982476,3,6,2,"CJ,CA,CK,C2;S2,S5,S6,SJ;DA,D9,D6,DJ;D7,D2,D3,DQ;SQ,C8,S4,S7;SA,D10,D5,S9;SK,D8,D4,S10;S8,C6,C7,C5;S3,C9,C10,CQ;DK,HA,H9,H8;H3,H5,H2,HJ;H6,H7,H10,HK;H4,C3,C4,HQ"
1569982476,3,0,2,"C6,C7,C8,C2;S8,S4,S2,S6;D8,D10,D9,D3;DQ,DK,DJ,D5;S5,S10,S7,CK;SQ,SK,C5,SJ;C3,C4,C10,CJ;S9,C9,DA,D4;SA,CA,CQ,D7;S3,H2,HK,HQ;H8,H4,H9,HA;H3,HJ,H7,D2;H10,H5,H6,D6"
1569982476,3,0,2,"C9,C10,C7,C2;D10,DK,D9,D6;DQ,S2,DA,D3;SJ,S5,S7,S4;CK,C6,CQ,C4;C8,CA,C3,D7;CJ,S6,D5,D8;C5,SQ,D2,DJ;S10,SA,S9,SK;S3,S8,H5,HK;D4,H6,HJ,HQ;H8,H4,H3,H10;H9,H2,HA,H7"
1569982476,3,6,2,"CJ,C7,CQ,C2;SK,SJ,S3,S7;S6,S5,SA,SQ;DA,DJ,D3,D9;D10,D6,D7,DQ;S4,C3,S2,DK;S8,C6,S9,C8;C10,H8,D4,C9;C5,H3,H5,C4;CA,HJ,HA,H2;H10,H6,HK,HQ;H4,H7,D8,CK;H9,D5,D2,S10"
