1569980706,3,11,3,"CK,C8,C9,C2;DJ,D2,DQ,D4;SQ,SK,S2,S4;D3,DA,D8,D7;C3,CQ,C5,C6;DK,D6,D9,CA;D10,C4,D5,S10;SA,S7,SJ,S9;S3,S6,S8,CJ;C10,C7,H7,H6;H4,HQ,HK,H9;HJ,H10,H2,H8;S5,HA,H5,H3"
1569980706,3,13,3,"C10,C5,C4,C2;SQ,S7,SK,S9;DK,D2,D7,D5;S5,SA,S4,S3;D10,DA,D3,DJ;CQ,CJ,C8,S8;C6,C7,CK,SJ;D4,D8,D9,C9;S6,S10,S2,HA;HJ,H5,H3,HK;H8,H10,H6,H9;DQ,H7,C3,HQ;D6,H2,CA,H4"
1569980706,3,0,3,"S8,CA,C5,C2;S2,S3,SA,SQ;C6,CK,D3,C7;DK,DJ,DA,D9;D2,S4,D4,D6;S10,S5,C3,SK;D8,D5,C10,DQ;C8,C9,S6,C4;D10,D7,CQ,S9;CJ,H5,H3,H10;H6,HA,HJ,HK;S7,H2,SJ,H9;HQ,H7,H4,H8"
1569980706,3,4,3,"C3,CQ,C7,C2;D3,D8,D2,D9;SQ,SK,S7,S10;C10,C8,C6,CJ;DA,D4,DJ,D7;S5,S4,S2,S8;C5,C9,CK,DQ;S9,SJ,HJ,S3;H6,H3,H7,H4;D5,H10,D6,HK;HA,H9,D10,H2;CA,HQ,DK,H5;C4,H8,S6,SA"
1569980706,3,25,3,"C4,CQ,CJ,C2;S2,SA,S8,S7;C10,CK,C7,C8;D9,D6,D10,D8;C6,C9,S6,S3;C5,S4,CA,S9;S10,SK,S5,SJ;DA,HQ,DJ,DK;H7,H2,H10,H5;D4,D2,H3,D3;D7,D5,HK,H6;SQ,H9,HJ,C3;DQ,HA,H4,H8"
