1569980795,3,13,0,"C8,C4,CQ,C2;SA,SQ,S5,SJ;S9,S6,S10,S8;CJ,CA,C5,D7;C9,C10,C6,D3;D4,D5,D9,D10;DQ,D6,DA,D8;CK,SK,C3,HJ;H9,H6,H2,H7;C7,H4,HQ,HA;H8,S3,HK,H5;D2,DK,H10,DJ;S2,H3,S4,S7"
1569980795,3,0,0,"CA,CQ,C5,C2;D10,DA,D3,DJ;D7,D2,D6,DK;D9,D4,S2,D8;SJ,S8,SA,S7;SQ,S6,S3,S4;C10,CJ,CK,C9;D5,C3,SK,C7;DQ,C6,HK,S9;H8,H7,H9,H2;H10,H6,HQ,HJ;C4,S10,HA,H5;C8,S5,H3,H4"
1569980795,3,4,0,"C9,C7,C5,C2;D10,D6,DJ,D3;S6,SJ,S8,S5;C6,CQ,CJ,CK;S3,S4,SA,SK;DA,S2,D4,D5;C8,C10,C3,S10;SQ,CA,D9,S7;H10,H7,H5,HQ;D2,D7,DQ,H3;H6,HK,H2,H8;C4,DK,H9,H4;D8,S9,HJ,HA"
1569980795,3,13,0,"C4,CA,C5,C2;S3,SK,SJ,S2;DA,DJ,D9,D10;S6,C8,S7,SQ;C3,CQ,C10,C7;C9,DK,C6,DQ;CK,D4,D8,D6;CJ,D3,S10,SA;H8,H5,H2,HJ;HK,H10,H6,H9;S8,D7,S4,HA;HQ,D5,S9,H4;H7,D2,S5,H3"
1569980795,3,26,0,"C7,C10,C5,C2;D3,DA,DQ,D7;DJ,DK,D10,SK;SJ,SA,S10,D4;S8,S2,D2,S7;D9,CJ,D6,D5;S5,SQ,CK,C9;C6,CQ,CA,S6;H5,HJ,H7,H8;C4,C3,H3,S4;HA,H10,H2,H9;S9,H6,HQ,S3;C8,H4,HK,D8"
1569980795,3,0,0,"CK,C4,CQ,C2;C7,C3,CJ,CA;D8,D9,DJ,D7;S2,SA,S4,S9;C8,C9,DA,D3;C6,C5,D5,D4;S5,S8,S10,SJ;SK,S6,S7,S3;H7,H9,HJ,H6;DK,H4,H10,D10;HQ,H2,H3,D6;H5,HK,HA,D2;H8,C10,SQ,DQ"
1569980795,3,8,0,"C6,C10,CQ,C2;CK,C7,C9,C8;S6,S4,SQ,SK;DQ,D3,D8,D6;D5,D2,D7,DK;S7,S9,S2,S5;SJ,S10,S8,SA;CJ,C3,S3,D9;CA,C4,H3,H8;H4,H2,H7,HJ;DJ,D10,HA,D4;DA,H10,HK,H9;H5,C5,HQ,H6"
1569980795,3,3,0,"C8,CA,C5,C2;S5,SK,SQ,S6;D6,D4,D5,DK;SJ,C7,S7,S3;C10,CQ,D2,C3;C4,CK,DA,C6;D7,S4,DQ,D9;S2,S8,C9,S9;D8,SA,D3,CJ;S10,H7,HJ,H4;H8,HQ,H3,H6;H5,DJ,HK,H10;H2,D10,HA,H9"
1569980795,3,4,0,"C10,C8,C4,C2;S7,SQ,SJ,S5;C5,S4,C9,CA;D5,D4,D2,DQ;DJ,D9,D7,DK;S3,S10,S6,S9;D6,CQ,D8,DA;S2,SA,D3,SK;CK,H5,C6,C7;H4,H6,HK,H2;H3,H8,H9,H10;HJ,HQ,H7,D10;HA,C3,CJ,S8"
