1569978759,3,7,1,"C2,CA,CJ,C6;S2,SA,S7,SQ;DA,DJ,DQ,D8;DK,D5,D2,D3;D4,D6,D10,C5;CK,D7,C10,C8;CQ,S5,S3,C7;SK,SJ,D9,S9;S4,S8,HK,S10;H10,H8,H9,H3;C4,H5,HQ,C3;H7,HJ,H2,HA;C9,S6,H4,H6"
1569978759,3,17,1,"C2,C4,C5,C7;S7,D8,SK,S6;DA,D10,D2,D5;CA,C6,CK,C9;S4,D6,SA,SJ;S10,C3,SQ,S8;D3,D9,DQ,D7;S2,CQ,S5,S3;DK,C10,D4,DJ;C8,H9,HJ,CJ;H7,HQ,H10,HK;H6,H5,H3,HA;H8,H4,H2,S9"
1569978759,3,20,1,"C2,C3,C9,C8;D3,D5,DQ,D9;S5,SA,SK,SJ;D4,S7,D6,D10;S2,S8,S4,S3;C7,S10,CQ,CA;D2,S6,DJ,CK;D7,H10,DA,H6;D8,H7,DK,HJ;H2,H4,HA,C5;H3,H8,SQ,HQ;HK,H5,C4,C10;C6,H9,S9,CJ"
1569978759,3,15,1,"C2,CJ,CQ,C7;DA,D10,D6,D2;S9,SA,S3,S8;DK,D9,D7,D8;S7,S2,SJ,S5;SK,S10,SQ,C5;S4,S6,DQ,C8;C3,D3,C6,CK;DJ,H2,D5,D4;H10,H8,H9,HA;C9,HJ,H6,C4;C10,H3,HK,CA;H4,H5,HQ,H7"
1569978759,3,4,1,"C2,D6,C8,CQ;S10,SJ,S5,S6;SA,S7,S9,C6;S2,D9,SQ,C3;C10,S3,C4,CA;C5,D3,C9,CK;D8,D10,D5,D7;S4,DJ,S8,C7;DA,DQ,CJ,SK;D4,D2,H4,H3;H8,H5,HA,H6;HJ,H9,HQ,H2;H7,DK,HK,H10"
1569978759,3,0,1,"C2,C6,C9,C10;D10,D8,DJ,D7;SA,SQ,S9,S7;D2,D6,S3,D5;S8,SK,SJ,DQ;S6,S10,CJ,DK;S5,S2,D3,D4;S4,C7,DA,C4;C5,CA,CK,C3;CQ,C8,D9,HJ;H3,H8,H4,H10;H6,HQ,HK,HA;H2,H7,H5,H9"
