1570125004,3,26,0,"C9,CA,C4,C2;S7,S2,S8,S3;C6,CJ,C7,C5;C8,CK,C10,C3;D8,D9,DQ,D4;S6,CQ,S4,SA;D5,D3,D7,DK;SK,SQ,S10,D2;SJ,HJ,S5,DJ;HK,HQ,H2,H3;H10,H6,DA,H9;H8,H4,D6,H7;HA,D10,S9,H5"
1570125004,3,0,0,"C7,CQ,C4,C2;DQ,D6,DJ,DA;S8,S9,SQ,S2;C6,C8,CA,C10;C5,CJ,HQ,C3;H5,HJ,HA,HK;S6,D10,S7,S10;D2,D9,D7,D8;SJ,S4,D3,SK;H6,H10,H7,H2;S3,H3,H8,D4;S5,H4,D5,DK;SA,C9,H9,CK"
1570125004,3,0,0,"C5,C10,C6,C2;C9,HK,CQ,C8;SQ,S5,S6,S8;DK,D9,D6,D5;S10,SA,S2,SJ;D3,D4,DQ,D10;S3,DA,H8,S4;CK,H6,C4,C3;SK,S7,H9,CJ;D2,D7,DJ,CA;H10,H7,HA,H2;D8,HQ,S9,HJ;H3,H4,H5,C7"
1570125004,3,1,0,"CQ,C5,C10,C2;C3,CA,CK,HA;D9,DK,D8,D3;S2,S4,SK,S8;HJ,HQ,H5,H9;S10,C6,SJ,S3;DA,DJ,D6,D10;D4,C8,DQ,D2;C9,C4,CJ,H10;HK,H6,H2,H4;H8,H3,S6,SQ;S9,D5,S5,SA;S7,H7,C7,D7"
1570125004,3,0,0,"C4,C6,C3,C2;D7,DA,D2,D4;SQ,S7,S6,S10;CQ,DQ,C5,C10;CJ,D8,C8,C9;CA,H8,CK,C7;D10,D5,S8,D9;S2,H2,SJ,SA;HA,HK,H6,H4;H3,H10,H7,H5;S3,S4,DJ,S9;H9,S5,HJ,D6;SK,HQ,DK,D3"
1570125004,3,4,0,"C6,C9,DJ,C2;SQ,S2,S6,S9;D2,D10,DK,D3;DA,D4,DQ,D6;C10,C7,CK,H9;HK,H7,H8,HJ;H3,H10,H4,HQ;S7,SJ,S4,S8;C5,S3,C4,CA;H5,H6,H2,CJ;C8,HA,S10,C3;CQ,SK,S5,D7;D9,D8,D5,SA"
1570125004,3,5,0,"C7,C8,C3,C2;D2,D8,D6,D5;CA,CQ,C4,C6;D3,DK,DJ,D9;S4,SQ,S10,SK;SA,S3,S7,S9;CJ,S8,H6,C10;HJ,H7,H2,HA;H8,H10,H4,HQ;HK,S2,H9,H5;D7,DA,DQ,D4;CK,S5,C9,SJ;C5,D10,S6,H3"
1570125004,3,17,0,"C7,CA,CK,C2;D6,C10,DA,DJ;D2,DK,D3,HK;C6,HQ,C8,CQ;CJ,S8,D10,C9;S5,S10,SJ,S2;H3,HA,H7,H6;S9,SA,SK,S7;H10,H2,H5,HJ;S4,D5,S3,SQ;H9,H4,H8,S6;D4,C5,D7,DQ;C3,D8,C4,D9"
1570125004,3,18,0,"C7,CJ,C4,C2;CK,C8,C3,C5;C6,H8,C9,H4;SQ,S5,S7,S8;C10,CA,D3,D10;D9,DA,D7,D6;S4,SA,S3,SJ;S10,D8,S6,SK;DQ,D2,DK,DJ;CQ,H5,HJ,HQ;H2,HK,H9,H3;S9,D5,HA,H10;S2,H7,H6,D4"
