1571051322,3,18,3,"CQ,CJ,C9,C2;S10,S9,SJ,S7;CK,C6,C7,C5;SA,S4,SQ,S3;D10,D3,D8,D9;HA,S6,SK,S2;D6,DK,D2,DJ;DA,DQ,H5,D4;HK,H3,H4,H2;H7,HJ,H8,H9;S8,HQ,C3,C8;D7,H10,C10,C4;CA,D5,H6,S5"
1571051322,3,0,3,"C6,C5,C8,C2;SK,S8,S4,S10;DJ,D4,D10,DK;S7,C4,C10,CA;H4,H6,C3,CJ;D9,S9,C9,CQ;HA,H5,H2,H7;H8,HK,H10,HQ;D3,D7,D8,DQ;H3,HJ,D6,H9;S5,S6,SJ,SQ;D5,SA,C7,S2;CK,S3,DA,D2"
1571051322,3,26,3,"CK,C8,CA,C2;D3,D7,D8,D6;S9,SK,S4,SJ;D5,S7,DA,D9;CQ,C7,CJ,C10;D10,C6,C3,C4;S3,D2,S5,SA;S10,DJ,S2,SQ;H10,C9,H4,HQ;H2,DK,H5,H7;H6,C5,H8,HA;H3,DQ,H9,HJ;S6,D4,S8,HK"
