1570124984,3,0,0,"CK,C5,C8,C2;S4,S9,SQ,SJ;D6,D2,D7,D8;DA,DQ,DJ,D3;S10,S6,SA,S2;SK,S5,H4,D5;H7,H10,HQ,H8;H2,H6,HJ,H5;C10,C9,CA,CQ;H3,S8,H9,DK;HK,S3,D10,C7;C4,C6,D9,C3;D4,HA,S7,CJ"
1570124984,3,8,0,"C10,CQ,CK,C2;S10,D4,S4,S5;SA,D8,S3,SK;SQ,C7,S6,DJ;S7,DQ,S8,H6;S2,SJ,H8,D5;C8,CJ,C4,CA;DA,HA,D6,D7;HK,HQ,H3,H7;H5,H9,H2,D3;H4,HJ,C9,DK;D10,C6,D9,D2;H10,S9,C3,C5"
1570124984,3,6,0,"C7,C3,CQ,C2;D9,D5,D3,D2;D7,SK,D4,DQ;S5,S3,S10,S4;C4,C9,C5,DK;C10,CA,C8,S8;C6,CK,D6,H2;H10,H4,H7,HQ;DJ,HJ,SA,D10;D8,HK,CJ,DA;SQ,HA,S7,SJ;S6,H6,S9,H5;S2,H8,H9,H3"
