1569978296,3,0,1,"C2,C6,C7,C8;DQ,D10,D4,D3;S4,S9,SA,S8;CK,C3,CA,C10;S6,SK,SJ,DK;C5,S2,CQ,C4;S10,S7,SQ,D9;DJ,H7,D6,D5;D7,H2,DA,D2;S5,HJ,C9,CJ;D8,H5,H6,HK;S3,H9,HA,H3;H8,H10,HQ,H4"
1569978296,3,6,1,"C2,C5,C10,C3;S9,S3,SQ,S10;DA,DJ,DK,D5;S4,SK,S6,S7;CQ,C4,C9,C8;D4,D3,D10,DQ;D8,SA,CJ,D2;D7,CA,C6,S2;D9,H10,H5,SJ;D6,HA,H4,CK;H7,C7,H8,H9;HJ,S8,H3,H6;H2,S5,HQ,HK"
1569978296,3,22,1,"C2,C9,CJ,C3;S4,SJ,S7,S6;D9,DK,D7,DJ;DQ,D8,DA,D3;SK,S8,S2,SQ;S3,S9,C6,C7;C5,CK,D6,C10;S5,SA,D5,CQ;C4,D2,D4,C8;H2,H3,HA,H7;HJ,HQ,H8,H5;S10,CA,H9,H6;D10,HK,H4,H10"
1569978296,3,17,1,"C2,C9,D6,C4;DJ,D7,DA,D5;SQ,SK,S5,S9;S10,S7,S8,S3;S6,C5,S4,D3;SJ,C10,S2,CJ;SA,CK,C8,C7;DQ,D9,D4,D10;HJ,H7,H5,H4;HK,H10,C3,HA;HQ,H2,H8,CQ;C6,CA,H9,D8;D2,H3,H6,DK"
1569978296,3,1,1,"C2,C4,C9,C5;S10,S4,S7,S5;SQ,SJ,S8,S2;D3,D2,D10,DK;S3,S6,C7,S9;C3,C8,CK,C10;DJ,D7,D6,DA;D8,C6,SA,DQ;H10,HJ,H3,H7;CQ,H8,CA,CJ;H5,HA,HK,D5;H2,H4,HQ,D9;SK,H6,H9,D4"
1569978296,3,26,1,"C2,CJ,C10,C3;S4,S7,S10,SK;C5,D5,C9,C4;DA,D10,D3,DQ;DK,DJ,D8,D4;S3,S5,S6,S9;SJ,S8,CK,SA;CQ,SQ,C7,D9;CA,H9,H7,HQ;C6,D6,HA,H5;D7,D2,HK,H4;C8,H6,H3,H8;HJ,H2,H10,S2"
1569978296,3,3,1,"C2,CK,C7,CA;D9,DA,D10,DQ;S2,SA,S9,S8;S3,S7,SJ,S5;D3,D8,DJ,DK;CQ,C10,C5,C3;D7,D2,D4,S10;D5,SK,C9,C8;D6,H8,HK,H7;S4,HQ,S6,H10;H3,HJ,CJ,H5;H4,HA,C4,H2;H9,C6,SQ,H6"
1569978296,3,6,1,"C2,C4,CJ,CA;D4,DK,D2,DQ;D6,DJ,S10,D8;S8,SK,S7,S2;SQ,S6,S5,D3;SJ,D10,CQ,C7;SA,D7,C10,D5;S9,H6,HQ,HJ;C6,C3,C8,H2;HA,DA,H4,H10;H3,C9,C5,H7;HK,D9,H9,S3;H8,CK,H5,S4"
1569978296,3,0,1,"C2,C6,C8,CA;DQ,D4,D5,D10;DA,D2,D6,C7;D3,D9,DJ,C4;S5,S9,S2,SA;DK,C3,D7,S6;CQ,C10,CJ,C9;D8,C5,SJ,S8;S3,H2,S7,S4;HJ,H10,HA,H7;CK,HQ,H4,H3;SK,H6,H5,S10;H9,H8,HK,SQ"
