1570124992,3,14,3,"CK,C4,CJ,C2;S3,S7,S9,S6;D6,D4,D8,DA;C8,C10,C7,C5;S8,SQ,S2,C9;C6,S4,H5,CA;D7,D9,DJ,D10;SK,H9,D2,S5;HK,H10,H3,H2;H7,H8,H6,HJ;D3,S10,DK,H4;DQ,D5,SJ,HA;C3,SA,HQ,CQ"
1570124992,3,6,3,"CK,C6,C4,C2;CJ,CQ,C3,C8;S5,SA,S8,S6;SQ,S3,S4,SK;D2,D10,D8,DJ;D3,D5,D4,DK;SJ,S9,S2,C10;S7,DA,H7,H10;S10,HA,HK,C9;H8,DQ,HQ,H6;H3,H2,D9,H9;C7,C5,H5,D7;CA,H4,HJ,D6"
1570124992,3,4,3,"CK,C10,CA,C2;SJ,S4,S3,SA;DJ,D8,D6,D7;CQ,S9,C5,C3;SK,S10,D4,SQ;S7,S8,C8,S6;S5,S2,H6,H9;H8,H2,HJ,HA;D5,D9,D10,DA;C7,C6,HQ,HK;H4,C4,H10,H5;DK,H7,DQ,D3;D2,C9,CJ,H3"
1570124992,3,22,3,"C3,C6,C10,C2;SJ,S5,S9,S6;S4,S8,S10,S3;D8,D10,DQ,D9;CJ,C4,H8,CQ;SA,HK,H5,S7;D2,DA,D3,DK;CK,C9,C8,SQ;DJ,H10,D4,D5;D6,H7,HQ,S2;C7,C5,CA,H9;H2,HA,H3,HJ;D7,H4,SK,H6"
