1569978238,0,4,1,"C2,S6,C9,CQ;DA,D10,D6,D5;D7,DJ,DQ,D4;S4,S2,S3,S5;C5,DK,CA,C7;SJ,S8,C3,SK;C4,SQ,C6,CK;D9,D2,S9,D3;D8,S10,SA,C8;H10,H8,H7,H9;H6,H5,H3,HK;HJ,HQ,H2,H4;S7,CJ,HA,C10"
1569978238,0,13,1,"C2,C3,C8,C7;D8,D3,D7,D9;S9,S4,S3,S2;SK,S10,SA,S7;CA,C10,CJ,C9;DA,D10,DK,DJ;D2,CQ,D5,C6;S5,CK,SQ,C4;S8,H6,SJ,D4;S6,HQ,HJ,HA;D6,H8,H9,DQ;H10,H7,HK,H2;H3,H5,C5,H4"
1569978238,0,4,1,"C2,C8,CK,C7;D4,D8,D10,DA;C5,CQ,C3,C4;DQ,DJ,D2,DK;S8,SQ,S9,S3;SJ,S4,SK,SA;C9,S7,D7,C6;CA,S2,D5,D9;CJ,H3,H7,S6;C10,H5,H10,D6;H4,HA,HJ,H2;HQ,H8,HK,S10;S5,H9,H6,D3"
1569978238,0,3,1,"C2,CQ,C8,C6;DJ,D2,D6,D9;DK,S8,D4,D8;DA,S2,D3,C4;D7,SA,S6,C5;DQ,CK,S7,S5;D5,S3,SJ,SQ;D10,S9,S4,C10;CA,S10,CJ,C7;HK,H6,H9,HA;H10,H7,H8,H3;SK,H2,C9,HJ;H5,HQ,C3,H4"
1569978238,0,3,1,"C2,CQ,C4,C3;CJ,C9,C6,S2;SQ,S9,S7,S10;C10,CA,D5,D10;D4,D9,DJ,DQ;C7,DA,S3,CK;D8,D6,S4,DK;S6,S8,SK,D3;SA,SJ,S5,D7;H7,HQ,HK,H6;H5,HJ,H3,HA;H2,H4,C8,H9;H8,D2,C5,H10"
1569978238,0,0,1,"C2,C8,CJ,C7;S3,S9,S10,SA;S8,SQ,S6,S4;DA,D4,D8,D9;D2,DK,D10,C4;CK,DQ,C3,C10;C9,DJ,C6,CQ;S2,HQ,SJ,S7;D3,HA,HK,H9;D5,H3,HJ,CA;D6,H5,H10,S5;D7,H8,H7,C5;H6,H2,H4,SK"
1569978238,0,0,1,"C2,CK,C5,C9;C4,C7,C6,CA;D8,DA,D4,D6;S3,S7,SA,SQ;CQ,S8,C8,C3;CJ,S9,S4,S2;D3,D9,DJ,D7;SJ,H6,SK,S6;D2,HQ,D5,H7;HJ,H3,DK,H10;D10,H4,DQ,H5;C10,HK,H9,S10;S5,H2,HA,H8"
1569978238,0,11,1,"C2,C5,C7,CQ;CK,CA,DK,C10;SA,S10,S3,S9;S2,S8,CJ,SK;C3,D8,D4,C8;D5,DQ,D9,D7;D3,D6,D10,D2;DA,DJ,SJ,SQ;C9,S6,S4,C4;C6,S5,H9,HK;H6,H5,H2,H7;S7,H4,H3,HQ;HA,HJ,H8,H10"
1569978238,0,0,1,"C2,C7,C9,C6;D5,C8,D10,DQ;S6,S4,SJ,S10;C5,CA,CJ,D3;SA,S9,SK,SQ;S3,S5,S8,S2;D8,D7,C10,DA;D6,D4,D2,C4;DJ,H9,D9,HQ;DK,H6,CK,H5;H8,H10,H3,HJ;H2,H7,CQ,HK;H4,HA,S7,C3"
