1569979590,0,13,0,"C9,C3,C8,C2;S2,S7,SA,SK;D7,D6,D10,DJ;C4,C6,CQ,CJ;C10,CK,C7,D2;SJ,S8,S3,S4;D9,D4,D3,DQ;S5,S9,SQ,S6;C5,CA,H6,S10;H9,H10,HQ,HA;H3,HK,HJ,H4;H7,D8,DA,H8;H2,H5,DK,D5"
1569979590,0,11,0,"CA,CQ,C4,C2;S3,SQ,S7,S5;DQ,DA,D9,D3;C7,C9,C3,C5;C6,C8,CK,S6;D10,D4,D8,D6;S10,S2,SA,SK;CJ,D5,DK,D2;DJ,S9,D7,SJ;C10,S4,H9,H10;HJ,H7,H8,HK;HA,H5,H6,HQ;S8,H2,H3,H4"
1569979590,0,4,2,"CJ,CK,C5,C2;DA,D5,C4,D9;DK,D2,C6,D6;DQ,D4,C3,D3;S5,S9,SK,S7;CQ,C9,CA,SJ;D10,C10,S6,DJ;SQ,S8,S4,S3;D8,C7,C8,S10;S2,SA,H9,HJ;H6,HK,H3,H7;H8,H4,HA,HQ;H10,H5,H2,D7"
