1569982564,0,2,0,"C6,C8,CQ,C2;SQ,S5,S7,S9;D6,D9,D8,D4;CK,C4,CA,CJ;S8,C10,S6,DA;S10,C5,SK,D3;SJ,C3,S3,DK;SA,C7,D5,D2;S4,DQ,C9,DJ;S2,D7,HJ,H7;H6,H10,H5,H4;H2,HK,HA,HQ;H8,H9,D10,H3"
1569982564,0,15,0,"C5,C8,CQ,C2;D2,D8,D9,D10;S7,S8,S2,SK;D7,DA,D3,DK;S10,S5,S3,SJ;C9,C7,D6,C6;C4,C3,D5,C10;S9,S6,H4,S4;H6,CA,HQ,HJ;HA,CJ,H2,H7;H10,CK,DJ,H9;H3,SQ,DQ,HK;H5,SA,D4,H8"
1569982564,0,21,0,"C7,CK,CA,C2;S5,S2,S6,SA;D10,DQ,DJ,D6;CJ,C8,C9,C5;SQ,S8,S9,S10;C10,D4,C4,CQ;SK,DA,SJ,S4;C3,D2,C6,D8;HK,H7,H2,HJ;HQ,H8,H9,H3;H6,HA,D5,D9;H10,D3,H5,S3;D7,DK,H4,S7"
1569982564,0,5,0,"D5,C9,C7,C2;S4,S6,SJ,SK;D7,DJ,DK,D4;SA,S3,S7,S5;C5,S9,C6,C4;D6,D8,D9,D3;C8,CQ,DQ,C3;D10,S8,HA,H2;D2,H3,HK,H10;CK,CA,H6,CJ;H9,H8,HQ,H5;HJ,C10,H4,S2;H7,DA,SQ,S10"
