1569978245,0,4,2,"C2,C6,CQ,C7;D5,D9,D7,D10;CA,C8,C9,CK;S2,S10,SQ,S4;DA,DQ,D2,C4;DJ,D4,DK,S8;S5,SJ,CJ,SA;S3,S7,C5,S6;D3,H10,D6,C3;S9,H2,HA,C10;SK,H5,HK,H6;D8,H7,H9,HJ;H4,HQ,H8,H3"
1569978245,0,0,2,"C2,CK,CQ,C5;D9,D7,D3,DQ;SA,S9,SQ,S6;SK,SJ,S8,S2;S4,D6,S7,S5;DA,D5,D8,D2;DJ,D10,CA,DK;C6,C7,CJ,C10;H9,H5,HJ,HQ;H7,H6,H10,H3;S3,H8,H4,C8;S10,C4,H2,C9;C3,D4,HA,HK"
1569978245,0,20,2,"C2,C5,C8,C10;SK,S3,SQ,S7;D10,D6,D9,DQ;CQ,S9,CA,C7;D3,DJ,DK,C9;D5,SA,CK,D2;D7,SJ,C4,D4;C3,S4,CJ,C6;S2,S6,HJ,S5;H9,H5,HQ,H4;H7,H6,HK,S10;S8,H10,HA,D8;H3,H8,H2,DA"
1569978245,0,0,2,"C2,C6,CQ,C9;D5,D8,D4,DA;C7,C3,C10,C5;DK,DJ,D10,CK;D9,D7,D2,CA;D3,SQ,S3,S5;D6,C4,S4,S9;S10,S8,SJ,SK;H5,HA,HK,H3;H4,HQ,H2,H10;S6,H7,SA,H6;C8,CJ,H8,HJ;S2,S7,DQ,H9"
1569978245,0,0,2,"C2,DQ,CA,C3;S7,S8,S10,SQ;D7,D6,DA,D9;SJ,S9,S4,S5;D4,D8,C10,DJ;C8,D5,C9,CQ;CJ,SK,D2,CK;DK,D10,S2,C7;SA,H9,S6,S3;C4,H5,HK,C6;HQ,H7,HA,H10;H4,H2,H6,C5;H8,H3,HJ,D3"
1569978245,0,0,2,"C2,C6,CQ,C7;S10,SA,S5,S4;D4,D10,D2,DQ;CK,C5,C9,SJ;C3,CA,D8,S2;SQ,S7,S9,C8;S3,S8,DJ,D5;D9,H5,D6,D7;DK,HA,C4,CJ;D3,H4,H7,H10;S6,H3,HK,HQ;SK,H8,H6,H2;DA,HJ,C10,H9"
1569978245,0,7,2,"C2,C5,CA,C8;S5,SK,S6,SQ;SA,S2,S3,S7;D5,D2,DQ,D7;C6,CJ,CK,C7;S4,S9,S8,DJ;D6,DA,D9,D8;D10,CQ,D3,C9;DK,H8,D4,H2;SJ,HJ,S10,HA;H7,H6,HK,H10;C3,H4,H5,C4;H9,HQ,H3,C10"
1569978245,0,0,2,"C2,C8,C10,C5;CA,C3,D10,CK;S7,SJ,S4,S5;D8,DK,DA,CQ;C6,C7,D7,CJ;SQ,SA,S2,S3;DJ,D3,S6,D4;D2,D6,S8,D9;D5,DQ,C9,SK;S9,H10,H5,S10;H2,H8,H6,HQ;HJ,H3,HK,HA;H9,H4,H7,C4"
1569978245,0,4,2,"C2,C4,CK,C9;S3,S7,S8,S4;DK,D8,DQ,DJ;D9,D4,D5,D6;D3,DA,SJ,C5;C8,SQ,CJ,C10;SA,S2,S9,C6;S5,S6,S10,CA;C3,CQ,D7,C7;SK,D2,HK,HA;H8,HJ,H6,H7;H4,H5,H10,H3;HQ,H9,D10,H2"
1569978245,0,4,2,"C2,CA,C5,C4;C10,CJ,C8,C7;SQ,S4,SJ,S6;D9,D5,DJ,D7;S3,S8,S2,SA;C6,D8,C3,DQ;D6,D2,S5,DK;D10,DA,S10,CQ;D3,D4,CK,H8;S9,C9,S7,H6;SK,H2,H5,HA;H9,HJ,H10,HQ;H3,H7,HK,H4"
