1570124979,0,17,2,"C7,C3,CK,C2;DA,D6,D8,D4;CA,D2,C6,CQ;C4,S8,C9,S7;CJ,H7,D10,H4;C5,H8,S9,HA;D5,D3,DJ,DK;H10,H6,HQ,H5;HK,S3,C10,HJ;H3,S6,C8,SA;H2,SJ,D9,S2;H9,S5,SK,D7;S4,S10,SQ,DQ"
1570124979,0,4,2,"C10,C3,CA,C2;C5,CJ,D5,C7;SK,S8,S7,SQ;S6,SA,S5,S2;D8,DQ,DJ,DA;D6,D10,D4,D7;C6,C4,C8,HJ;H3,H9,H4,H5;S3,SJ,HQ,S10;S9,S4,HK,HA;CQ,C9,D9,H10;DK,CK,D2,H6;D3,H7,H2,H8"
1570124979,0,4,2,"C3,CA,DQ,C2;C9,H4,C6,CK;D2,D8,D10,DA;HQ,H3,H9,H5;H8,H6,H7,H10;D4,D3,DK,DJ;HJ,H2,HK,HA;C10,C7,S4,C5;CQ,C8,S9,CJ;C4,D6,S2,S6;S8,S7,SK,S5;D5,SQ,D9,D7;S3,S10,SA,SJ"
1570124979,0,0,2,"CA,C5,C8,C2;C6,C4,C3,C7;SA,S5,SK,S6;CK,C9,S8,H5;S3,S7,SJ,S4;H4,H8,H6,HK;D10,D6,DK,DJ;S10,S2,H7,S9;CQ,D3,H3,CJ;SQ,HA,D8,D7;D9,D5,D4,DA;HJ,HQ,D2,H9;C10,H10,DQ,H2"
1570124979,0,12,2,"C5,C10,C9,C2;S5,SJ,SK,S8;D4,D3,D9,D8;DK,D10,DQ,D2;C8,C3,CJ,C7;SQ,S9,C4,S3;S7,S4,H6,S10;HQ,H10,H9,H5;DA,S2,D6,H3;HA,HJ,H8,H2;CK,HK,CA,C6;D7,DJ,H4,H7;S6,D5,SA,CQ"
1570124979,0,0,2,"CJ,C7,C3,C2;D4,D7,DK,DJ;CQ,DA,CA,CK;C8,H3,S9,C4;C9,S6,HA,C10;H10,H7,H6,H2;C5,DQ,D5,S7;SA,SQ,S2,S3;D9,SK,D6,D8;D3,HK,D10,S8;H4,H5,HJ,H8;S10,H9,C6,S5;SJ,D2,HQ,S4"
1570124979,0,0,2,"CA,CK,C3,C2;DJ,D4,D7,D6;D10,DA,D5,D8;S9,S10,SK,S2;CQ,C9,C4,C10;C5,H6,H4,CJ;C8,C6,DQ,SQ;SJ,S8,SA,S3;H8,HJ,H10,H3;S5,S7,C7,S4;D3,H7,H9,D9;DK,HK,S6,H5;D2,HA,HQ,H2"
