1570031183,0,6,2,"DK,CA,C6,C2;DA,D9,D6,D10;S4,S7,S5,S3;S10,S2,S9,S6;CQ,C8,D4,CK;DJ,D2,DQ,D8;C5,C10,C7,D7;SA,SK,C9,SQ;H5,S8,HK,H6;H10,CJ,H4,H3;C3,C4,HJ,H2;D3,D5,HA,HQ;H9,H7,H8,SJ"
1570031183,0,4,2,"C5,C3,C8,C2;D7,D9,D10,DA;S6,S2,S10,S7;D4,D2,DK,SA;SJ,S5,S3,SK;CJ,C6,CA,C7;D8,D6,D3,CK;D5,S8,C4,S9;C9,H3,CQ,C10;HK,H9,HQ,HA;H4,H8,DQ,H10;H5,H7,H2,SQ;HJ,S4,H6,DJ"
1570031183,0,4,2,"C6,CJ,C9,C2;D3,DQ,D5,DK;S4,S2,S5,S9;D9,D8,D10,D2;DA,D6,SQ,D7;D4,DJ,SA,C5;C8,C7,C10,CQ;S8,S7,SJ,SK;CK,CA,C3,S10;H8,H10,H2,H5;H4,HK,HQ,HJ;H3,H6,C4,H7;H9,HA,S3,S6"
1570031183,0,13,2,"CQ,C3,C5,C2;DA,DJ,DK,D6;C10,D7,C6,CJ;S4,S8,S9,SK;C8,S3,CA,C7;CK,S2,D4,C4;SJ,S6,S7,S10;SQ,D3,S5,SA;D10,D8,D9,D5;D2,DQ,HA,C9;H5,H9,HK,H3;H6,HQ,H7,HJ;H10,H8,H2,H4"
1570031183,0,18,2,"C9,CA,C8,C2;D2,D7,D10,DJ;C3,C5,C4,D5;S4,SA,S7,SJ;C6,C7,S8,C10;DK,D4,D6,DQ;SK,CK,S2,S6;H5,HA,HQ,H2;H3,H6,H7,H4;H9,S9,DA,H10;HK,S5,D3,D8;HJ,D9,S10,CJ;H8,SQ,S3,CQ"
1570031183,0,4,2,"C5,C7,C9,C2;D6,DA,D7,D9;S10,S9,S8,SA;D5,DQ,DK,D10;C3,CA,D3,C8;SK,SQ,S4,S7;C10,D2,C6,S5;CQ,HQ,C4,S2;HJ,HK,H6,H3;H7,H4,H10,H9;CK,CJ,H2,SJ;D4,DJ,HA,S3;S6,D8,H5,H8"
1570031183,0,13,2,"CK,C8,C3,C2;C6,C9,C5,CA;S2,S4,S6,SQ;CJ,C7,SK,S9;DJ,DK,DQ,D4;D7,D5,D6,D2;SA,S10,S7,D8;C10,SJ,CQ,D3;D9,D10,HA,C4;H9,H10,H3,HQ;H2,HK,H6,H5;S5,S3,S8,H8;H7,DA,HJ,H4"
1570031183,0,0,2,"C8,C3,CQ,C2;D2,D9,DQ,D7;DA,D5,DK,D10;S6,S8,S5,SA;S7,S2,S3,SK;S4,S9,C6,SQ;D8,CJ,S10,D6;D3,C10,C4,C7;D4,HK,H10,H7;H2,HQ,HA,HJ;H3,CK,H6,H4;H9,CA,H8,C5;DJ,C9,H5,SJ"
1570031183,0,5,2,"C4,CJ,C5,C2;S9,S6,S4,S8;DA,D9,DJ,D6;D2,D8,D4,D5;C3,C6,C8,D3;SK,CA,SQ,S3;SA,CK,S2,S7;S5,C10,C9,SJ;D10,H2,DQ,CQ;HQ,H9,H10,H3;H7,H6,HA,HJ;H4,HK,H8,S10;H5,D7,DK,C7"
