1569982406,0,13,2,"C10,C9,CK,C2;D8,D6,DJ,D4;DA,DK,D9,D3;S5,S2,SJ,S3;C7,C4,C6,CA;DQ,D2,D7,S9;S6,SA,SQ,S10;S8,S4,SK,C5;CJ,C3,CQ,S7;C8,H5,D10,HJ;H10,HK,HA,H3;D5,H6,HQ,H9;H4,H7,H8,H2"
1569982406,0,0,2,"SK,C7,C8,C2;D10,D9,D4,DJ;CA,CJ,C10,S5;S8,SA,S7,S10;C5,C3,CK,S6;D6,D7,D5,D3;CQ,C6,SJ,S4;HJ,H8,H5,HQ;DQ,H6,H10,DA;HA,H7,D8,H3;S9,C9,SQ,HK;D2,C4,H9,S2;DK,H4,H2,S3"
1569982406,0,26,2,"C4,CJ,CK,C2;S2,S9,S10,S3;D3,D10,DA,D8;C9,C3,C6,S4;C8,C10,C5,S6;S8,SK,D7,SQ;C7,D6,DQ,SJ;CQ,HQ,D4,D2;CA,H4,H5,HJ;S7,H6,H2,S5;DK,HA,D9,DJ;D5,H10,H9,H8;SA,H3,H7,HK"
1569982406,0,4,2,"CQ,C6,C8,C2;SJ,SQ,SK,SA;D9,D7,DJ,D5;C7,CA,C3,C4;S10,S8,S2,S6;S5,S9,S7,C10;D10,D3,D4,DK;C5,C9,D2,CJ;S4,DA,D8,S3;D6,H3,DQ,H4;HJ,HA,H9,H7;HQ,HK,H8,H2;H10,H6,H5,CK"
1569982406,0,21,2,"C7,CA,CJ,C2;S3,SJ,S2,S10;D9,D2,DJ,D7;S9,S4,S7,S6;SA,SQ,SK,S8;S5,D4,D10,D3;C5,C4,CK,C9;DQ,D6,C3,D8;CQ,C6,HK,C10;H8,H10,HA,H6;H9,H5,H3,H2;H7,H4,HQ,D5;C8,DK,HJ,DA"
1569982406,0,4,2,"C9,C10,C8,C2;DA,D9,DK,DJ;D5,D3,D7,DQ;S2,SQ,S9,S5;C4,C6,CA,C3;SK,S8,S3,S10;C5,C7,CJ,D2;SA,CQ,SJ,S6;S7,D6,D4,S4;HA,H2,HK,H9;H8,H6,H4,HJ;D8,H10,D10,H5;HQ,CK,H3,H7"
1569982406,0,0,2,"CA,C5,C7,C2;D9,D8,DQ,D7;DJ,DA,D2,D4;CK,CQ,C8,CJ;C3,S6,SA,S5;C9,SQ,S8,SJ;C10,S2,D6,S7;D10,S4,DK,D3;H9,H5,H6,H3;HA,HK,H8,SK;HQ,H10,H7,D5;HJ,H4,S9,C6;H2,S10,S3,C4"
1569982406,0,3,2,"SK,C9,C5,C2;D2,D7,D10,D6;D4,D9,D5,DJ;C7,CQ,CK,S6;S10,S2,S3,S4;C8,CA,SJ,D3;C10,C6,D8,S5;C3,CJ,H4,HQ;HA,H3,H7,H10;H5,HJ,C4,H6;DQ,SA,DA,HK;SQ,S8,S9,H2;DK,S7,H8,H9"
1569982406,0,0,2,"CA,CK,CQ,C2;D6,DA,D5,D2;SJ,S2,S10,SK;C4,C7,C9,C6;CJ,C10,DQ,C3;SA,SQ,S8,S9;S6,S7,S3,S4;D8,D3,D7,DK;D4,H7,D9,DJ;H6,H4,H10,HJ;H5,H3,H2,HQ;S5,HA,D10,HK;C8,H9,H8,C5"
