1569982503,0,0,2,"C9,C8,C3,C2;S3,SQ,SA,S4;C7,CK,CA,C10;D5,D2,D7,D9;D4,DQ,DA,D8;S7,S10,SK,SJ;S8,S2,S9,S6;D3,DK,CJ,D6;HJ,H7,H9,H2;H4,DJ,HA,HK;H10,C6,H8,C5;H3,D10,H5,CQ;HQ,C4,H6,S5"
1569982503,0,4,2,"C8,CA,C10,C2;DJ,DQ,D5,D3;SJ,SA,S4,S8;C7,C5,C3,CK;S6,DA,SQ,S7;S9,CQ,S5,S2;D10,DK,D4,D8;CJ,S3,S10,C9;C6,HQ,SK,D9;H4,H7,HK,H3;H10,H6,HJ,H8;H9,H2,HA,D7;C4,D6,H5,D2"
1569982503,0,21,2,"C4,C8,CQ,C2;S9,S6,SQ,S10;D10,DJ,DA,D2;C3,CA,C9,C10;S3,SK,SJ,S4;D3,DK,D6,D5;D4,D8,SA,C7;CK,S8,CJ,C5;S5,HK,S7,H6;H5,H8,H2,HQ;H10,H3,H4,H9;H7,DQ,C6,HJ;HA,D9,S2,D7"
1569982503,0,0,2,"CJ,C5,CQ,C2;S5,S8,SK,S2;D2,DA,D3,DJ;CA,S4,C4,C9;C7,SA,C6,CK;D6,DK,D9,D10;S10,S9,S7,D5;D8,H6,D4,H2;HA,H10,D7,H5;HK,C3,S6,H7;H9,SQ,DQ,H3;HQ,C10,SJ,HJ;H4,C8,S3,H8"
1569982503,0,8,2,"C3,C10,C7,C2;DA,D6,DJ,D7;S10,SQ,S3,S5;DQ,C5,D3,DK;S8,CQ,SK,SJ;C8,CK,CA,CJ;S2,C4,S9,S7;D5,HQ,D10,D2;C6,H7,C9,HK;HJ,H2,S6,H6;HA,H5,D9,H10;H3,H4,D4,H9;D8,H8,SA,S4"
