1569982444,0,0,0,"CK,C7,C6,C2;S4,D2,S3,S8;D4,DK,D5,D3;CA,C8,CJ,C4;CQ,C10,DJ,D9;C5,S6,D7,DA;C9,S5,S9,S7;C3,SJ,D10,D6;HK,H3,HJ,H9;H5,H8,HA,S2;H6,H2,SA,HQ;H7,H4,S10,D8;H10,DQ,SQ,SK"
1569982444,0,24,0,"C5,C10,C4,C2;S9,S10,S8,SA;DA,DK,D9,D7;SK,SQ,S3,S2;D8,D5,D4,D2;CA,C9,CQ,CK;S6,DQ,C6,S7;S4,H3,H6,S5;C3,CJ,H7,HK;D3,HQ,H2,DJ;D10,H10,HA,D6;SJ,H4,HJ,C7;C8,H9,H8,H5"
1569982444,0,18,0,"DQ,C8,C10,C2;D2,DK,D3,DA;S6,SQ,S4,S9;CK,C4,S7,C6;D9,D10,D4,S5;CQ,C3,D6,SJ;C9,CA,S8,S3;D5,HK,D7,SA;HQ,H4,HA,H6;H3,S10,H9,H8;C5,CJ,H7,HJ;D8,S2,H2,H10;DJ,C7,H5,SK"
1569982444,0,13,0,"S9,C4,CJ,C2;DA,D10,D7,D3;S8,SK,SA,S2;S4,SJ,S10,SQ;C10,C3,CA,S3;CQ,C7,CK,DJ;S7,D9,S6,S5;D5,C6,D4,D6;D8,HK,DQ,C8;H5,H2,H7,H9;D2,H4,HA,HJ;HQ,H10,H3,H6;DK,H8,C5,C9"
1569982444,0,4,0,"C7,C8,C3,C2;CA,DQ,CQ,C6;D9,D10,DA,D4;D8,D2,SJ,DK;S3,S5,SQ,S8;S9,S7,S6,S2;C5,SK,CJ,D3;C4,SA,C9,D7;S4,H3,C10,HA;H5,H7,H9,H4;HQ,H8,H10,HK;H2,H6,CK,DJ;HJ,D5,S10,D6"
1569982444,0,8,0,"C10,C9,CQ,C2;S5,S3,SA,S4;DK,D4,DJ,D9;D2,C5,D8,D10;CJ,C7,C8,C6;S6,S10,S8,S9;D7,S2,DQ,SK;D5,SJ,D3,CK;SQ,H8,C3,S7;H7,HK,H9,H2;HQ,H10,H4,HA;C4,H3,H6,H5;CA,D6,HJ,DA"
1569982444,0,8,0,"C9,CJ,C3,C2;C8,C7,CK,C10;DA,D2,D4,DQ;S5,S3,S8,S7;D3,C4,D10,DK;S10,SJ,S6,SK;D9,DJ,H10,SQ;H2,HJ,H7,HQ;H3,HK,H5,CA;H8,D6,H6,S4;H9,S2,D7,C5;H4,D5,D8,CQ;HA,C6,SA,S9"
1569982444,0,13,0,"CJ,C5,CA,C2;DK,DQ,D6,D4;S6,SJ,S3,S8;C10,C4,CQ,C9;D10,D5,DJ,D7;D8,D2,D9,SK;S10,S4,S7,SQ;S2,C8,CK,SA;D3,DA,S9,C3;C7,C6,H6,S5;HQ,H7,H8,H10;HA,H5,H9,HJ;H3,H2,H4,HK"
1569982444,0,4,0,"CJ,C7,CA,C2;D4,D6,D10,DQ;C8,CK,C9,CQ;C4,C10,C3,D2;SQ,S8,S3,S2;S5,S9,S4,SA;DK,D5,D9,S7;DA,DJ,C6,HA;H6,H10,HJ,HQ;H8,HK,H5,D7;C5,H2,D8,H3;S6,SJ,SK,H4;D3,H9,S10,H7"
1569982444,0,11,0,"CK,CQ,C7,C2;DK,D3,D6,D7;D2,D8,S6,D4;S10,S4,S8,SQ;D5,C4,D9,D10;S2,C9,SK,S9;C3,CA,C8,C5;S3,SJ,CJ,S7;C6,HJ,HK,HA;DQ,H3,HQ,DA;H5,H4,H7,H9;DJ,S5,H6,H2;C10,SA,H8,H10"
