1569980757,0,13,2,"C5,C6,CJ,C2;S9,SJ,SQ,S6;D5,DJ,D4,D7;S4,S10,S7,S2;C10,SA,C4,C8;DQ,D6,DA,D10;CQ,CK,SK,C3;C7,CA,D8,S8;DK,D2,D9,H2;HA,H5,H9,H10;HJ,H6,H3,HK;H8,H4,S5,HQ;S3,C9,D3,H7"
1569980757,0,4,2,"C4,CJ,CK,C2;D3,DJ,DA,DK;D8,D9,S5,D7;S2,S7,S10,SQ;D10,S9,D4,S3;D2,SA,D5,C8;C5,C10,C3,C6;HK,H10,HQ,H3;H8,CA,HA,H2;DQ,D6,H9,C7;CQ,S8,H7,C9;S6,SK,HJ,S4;SJ,H6,H4,H5"
1569980757,0,0,2,"C5,C3,C6,C2;SJ,S8,S7,SA;D5,D6,CA,DK;D2,D9,C9,D7;C8,C10,CK,CQ;DJ,S10,S6,D4;SQ,CJ,S2,S9;D3,C7,S4,D10;DQ,H5,C4,H10;H9,HQ,HA,HK;S5,H2,H6,S3;H8,H4,H3,DA;SK,H7,HJ,D8"
1569980757,0,4,2,"C3,C7,C6,C2;CQ,C10,CK,CA;DQ,D5,D4,D7;D8,S4,D2,D10;SQ,S7,S9,S5;C4,CJ,C8,C5;S8,SJ,DA,S3;SK,D9,SA,S10;D6,DK,DJ,H6;H5,H8,H7,H9;H2,H10,H3,HJ;H4,S6,HK,HA;D3,S2,HQ,C9"
1569980757,0,0,2,"C10,C4,C5,C2;DK,D4,D3,DA;CJ,CK,C3,CA;D10,S9,D9,D7;D2,SK,DJ,DQ;SJ,S7,S5,SA;D8,S6,C7,D5;C9,C8,C6,S4;CQ,H10,HA,S10;H2,H7,H9,HJ;H8,H3,H5,H4;HQ,S2,H6,S3;D6,S8,HK,SQ"
