1571051002,0,4,2,"C8,C7,C5,C2;SJ,SA,S6,SK;DA,DK,DQ,D3;D8,H7,D7,D9;H6,HK,H4,H2;C10,C6,CJ,CQ;S9,S3,S4,S2;DJ,D10,H10,D4;S8,H8,H9,HJ;D5,S7,H3,HQ;SQ,CA,D6,HA;C3,CK,C4,H5;S10,S5,C9,D2"
1571051002,0,19,2,"C3,CJ,C6,C2;C5,CK,C8,C10;D3,D7,DK,D10;SQ,S7,S2,S3;S8,SA,S10,SJ;S5,CQ,CA,C4;S4,D5,D8,D9;HQ,S6,HK,S9;H10,DJ,DQ,D4;H5,H4,H3,H6;H9,C7,DA,C9;HJ,HA,D6,H8;SK,D2,H7,H2"
1571051002,0,18,2,"C6,C4,C3,C2;CJ,CK,C9,CQ;D8,D6,D3,D9;S8,S6,S9,S3;DJ,D4,D7,D10;SQ,SK,S7,S2;D5,DQ,DK,D2;CA,H7,C7,C10;H5,H9,H8,HA;H6,S10,HQ,S4;C8,H2,HK,DA;H3,S5,HJ,SJ;H4,C5,H10,SA"
1571051002,0,5,2,"C7,C6,C10,C2;CJ,CK,C9,C8;S8,H5,C5,C3;HQ,HK,H4,HA;S2,S3,S6,SK;D4,D9,DJ,D5;S4,S9,SQ,S10;H9,SA,H3,S7;D6,H10,DA,D8;H6,H8,H2,H7;HJ,D2,DK,CQ;S5,D3,DQ,CA;SJ,D7,D10,C4"
1571051002,0,4,2,"C3,C7,CQ,C2;S7,S2,S5,S6;C5,C6,S9,C4;SK,SA,S10,SJ;D3,DJ,D7,D6;SQ,H2,DQ,S8;DA,D2,D5,D10;HJ,H4,H5,H8;CA,HK,C9,CJ;HQ,H7,H10,H9;H3,D4,S4,D9;H6,HA,C8,S3;C10,DK,CK,D8"
1571051002,0,26,2,"C4,CK,CJ,C2;SJ,S4,S3,S5;DJ,D8,D10,D7;C7,C6,C9,C3;DQ,D2,D9,DK;D5,DA,D6,D3;SQ,SK,S6,S10;S9,CQ,H4,CA;H7,H3,HK,HA;H2,S8,H5,H6;S7,C5,H9,D4;HJ,SA,H10,HQ;H8,C8,S2,C10"
1571051002,0,7,2,"C8,CA,C5,C2;S4,S5,S6,SA;S8,S9,SJ,S3;CK,H2,CJ,CQ;DQ,D7,D6,D3;D5,D8,H4,D9;HJ,H8,H9,HQ;H6,H10,HK,H7;S7,DK,S10,SK;HA,D10,DJ,H3;DA,C4,C10,D2;C7,S2,H5,C3;SQ,D4,C6,C9"
1571051002,0,4,2,"C3,C4,C8,C2;S9,S7,S8,S6;CJ,C6,C5,CA;D2,DQ,D9,DK;H2,C9,C10,C7;S5,S2,SJ,SQ;H3,H5,H10,H8;D4,DA,D6,D8;H9,HK,HJ,H6;S4,H4,HQ,H7;D7,D5,D3,D10;S10,S3,CQ,SA;DJ,CK,HA,SK"
