1569980784,0,3,1,"C10,C7,DK,C2;S6,S3,S8,S4;D4,D8,DA,D6;D3,D2,D5,DQ;SJ,S5,S9,S7;C9,CQ,CJ,SA;CK,CA,C6,D10;SQ,SK,D9,S2;C8,HA,H2,C3;C4,H8,HQ,HK;C5,D7,HJ,H7;S10,H6,H5,H9;H4,H3,H10,DJ"
1569980784,0,0,1,"C5,C7,C4,C2;S3,S7,S6,SQ;D8,DJ,D5,D9;C8,C3,C6,C10;D2,S5,D3,D10;S9,SJ,CJ,S2;S10,CQ,S4,D4;SA,DQ,S8,D6;SK,H3,D7,DA;H8,H6,HJ,H2;HK,H9,H5,CA;DK,H10,HQ,C9;HA,H4,H7,CK"
1569980784,0,4,1,"CQ,CA,CJ,C2;DK,SK,D4,D8;SA,S3,S10,S4;D2,S2,D10,DA;SQ,S7,S6,SJ;D7,C10,DJ,D6;C3,C8,C6,C5;C4,C9,S5,S9;H6,HK,H5,H4;H2,DQ,HA,H9;HQ,D3,C7,H3;H8,D5,S8,HJ;H7,H10,D9,CK"
1569980784,0,8,1,"C5,C9,CA,C2;D2,DJ,D10,DQ;C3,C6,C8,D9;SQ,S3,S8,S7;S10,S5,S6,SA;D8,SK,D7,DK;DA,H6,C7,D4;HJ,H8,HA,H9;H2,H7,H5,H4;H10,C10,D3,D6;H3,CK,S9,SJ;HK,S2,C4,D5;HQ,CQ,CJ,S4"
1569980784,0,13,1,"C6,C7,C10,C2;D5,D4,D8,DK;C5,C4,CA,C9;D3,D10,D9,D7;SQ,S6,SJ,SK;DQ,D2,DA,D6;S8,S4,SA,CQ;H3,C3,HA,H9;H5,H4,S2,H10;CJ,HQ,S5,HJ;C8,H7,S7,S10;H2,H8,S9,HK;S3,H6,DJ,CK"
1569980784,0,8,1,"CA,C10,C4,C2;S8,S5,S9,SQ;CJ,C8,C6,CQ;DJ,D7,D8,D10;SA,S4,S2,D6;S10,S7,SK,CK;D4,DK,D9,D2;S6,C5,DQ,S3;SJ,C9,H8,D5;H9,H5,HJ,H3;H10,H4,HK,HA;D3,H7,H6,HQ;DA,C3,H2,C7"
1569980784,0,8,1,"C9,C7,CK,C2;DA,D9,D10,DJ;SA,S7,S2,S3;S10,C10,S6,SK;S4,S5,C6,SJ;D7,D3,DQ,D5;C4,C5,CJ,D8;C8,D6,C3,SQ;H9,H4,HA,H3;DK,H6,H10,D2;CQ,HQ,H5,S8;HJ,H8,HK,S9;H7,H2,CA,D4"
1569980784,0,3,1,"C5,CA,C10,C2;D4,D9,D7,DJ;S2,S7,SJ,S9;D2,D3,D5,DQ;S10,S4,C7,SQ;CJ,C3,CQ,C9;S3,D6,SA,C4;C6,CK,DA,C8;S5,H3,S8,H10;H5,HJ,H6,HK;S6,HA,H4,SK;H2,H9,H8,D8;H7,DK,HQ,D10"
