1570031181,0,0,1,"CJ,C7,C4,C2;D3,D6,DQ,DK;DA,D9,DJ,D2;C9,C5,C6,C8;C10,CK,D8,S2;CQ,SJ,S8,CA;SA,S6,S9,S4;C3,SQ,S7,D10;S5,S3,D7,H3;HA,HJ,H8,H4;H6,H9,H10,HK;H2,H5,D5,H7;SK,S10,D4,HQ"
1570031181,0,0,1,"CK,C6,C9,C2;SJ,S6,S10,S2;DA,DQ,D2,D6;D9,D7,D8,C7;CA,C4,C10,CQ;C5,C8,DJ,S8;DK,D3,D5,S7;CJ,C3,SK,S3;D4,D10,S4,S9;S5,SQ,SA,H10;HQ,H7,H6,H3;H9,H2,H4,H5;HK,HJ,H8,HA"
1570031181,0,2,1,"CQ,C3,C4,C2;D2,DQ,D7,D5;DK,S3,D8,DA;S10,S9,SQ,S8;C5,C6,C8,C7;D3,D10,C9,D6;CK,CA,SK,C10;SA,CJ,S7,S6;S4,H7,H4,S5;H5,HA,H6,H2;H8,H10,SJ,HK;S2,HQ,D4,HJ;DJ,H9,D9,H3"
1570031181,0,13,1,"C10,CK,C8,C2;DA,D2,D4,D8;S3,S5,SQ,S9;D7,D3,CQ,DJ;S4,SA,S2,SJ;C4,C3,C9,D10;D5,DQ,CA,S8;D9,C6,DK,S10;C5,S7,C7,SK;D6,H2,H8,H7;HK,HQ,HA,H10;H5,H6,H9,H3;CJ,H4,S6,HJ"
1570031181,0,0,1,"C6,C5,C4,C2;SK,S6,S3,S10;SJ,S7,S5,SA;S2,S8,CK,SQ;C8,DQ,C9,C7;D9,D10,D7,D5;D3,DJ,D2,CA;DA,D8,DK,C10;C3,D6,CJ,CQ;H10,H3,HQ,H6;H7,HJ,H8,H4;HA,S4,HK,H2;D4,S9,H9,H5"
1570031181,0,7,1,"CQ,C7,CJ,C2;D5,D9,D6,DA;SQ,S10,S2,SK;C5,C6,C3,C8;CK,C9,C10,CA;D3,DQ,D7,D4;S9,S7,S5,S4;S6,DK,S8,SJ;D2,C4,D8,S3;SA,DJ,H8,H2;HA,H9,H10,HJ;H5,HK,H3,HQ;D10,H7,H4,H6"
1570031181,0,0,1,"CQ,C3,CJ,C2;C8,CA,C7,C6;S5,S7,SJ,SK;S8,S6,S9,SQ;D4,D6,DK,DJ;D5,D8,D2,DA;S10,SA,S3,C5;S4,C10,DQ,S2;D3,D9,HA,C9;H2,HK,H4,H7;H8,H5,H6,H3;HQ,D7,C4,H10;HJ,D10,CK,H9"
1570031181,0,7,1,"CQ,C3,C9,C2;CK,D2,C5,C7;CJ,S8,C4,C6;S2,SJ,SK,SQ;D3,DK,D9,D5;D10,DJ,D7,DQ;CA,S4,SA,D6;C8,H3,H10,S5;H8,H2,H4,HQ;HJ,HK,H5,H7;S10,HA,S6,S3;S7,H6,D4,DA;S9,H9,C10,D8"
1570031181,0,4,1,"C3,C8,C4,C2;S8,SJ,S3,SA;C6,CA,C10,C5;D10,DJ,D6,D3;S6,SK,D4,S7;DK,DA,S10,D7;C9,CQ,CJ,D8;CK,D2,C7,S5;S2,D5,S4,S9;D9,H5,DQ,H7;H4,HJ,H3,H10;H8,HQ,HA,HK;H2,H9,H6,SQ"
1570031181,0,0,1,"C4,C5,C8,C2;CQ,C9,C7,CA;C6,S4,C10,CJ;D4,DK,D10,D3;S9,S10,SQ,SJ;C3,S2,DJ,S8;SK,D8,S3,SA;D5,D9,DA,D6;S7,D7,D2,DQ;S5,H4,H2,CK;HQ,H3,HA,HJ;H5,H7,H8,HK;H9,H6,H10,S6"
