1569979556,0,14,1,"CK,C4,CA,C2;D8,D4,D3,DK;S7,S5,S10,SA;C7,C9,CQ,C5;S3,DJ,S9,S4;D9,D7,D5,D10;C10,C3,CJ,S6;DA,DQ,D2,SJ;D6,SK,C6,S8;S2,SQ,C8,HQ;H4,H2,H6,H5;HA,HJ,H9,H7;H3,HK,H10,H8"
1569979556,0,4,1,"C5,C8,CQ,C2;S9,S10,S2,S5;D4,D5,DQ,DA;CJ,C9,C6,C7;C3,CK,DJ,C4;DK,S8,D8,D3;D2,S3,D6,S6;SJ,SA,S4,D10;SQ,S7,D9,SK;H4,H2,H8,H6;H9,H5,HQ,H7;HK,HA,HJ,CA;H3,H10,D7,C10"
1569979556,0,0,1,"C5,C8,CJ,C2;S6,SJ,S3,SA;D10,DA,D3,DQ;D4,D9,D6,CA;S9,S8,CK,S5;D5,DJ,D8,C10;C4,CQ,C3,C7;H4,H6,H5,H3;H9,HJ,HQ,C6;HK,H7,H10,S10;H8,D7,D2,S4;HA,DK,SQ,S2;H2,C9,S7,SK"
1569979556,0,5,1,"CK,C8,C5,C2;SQ,SJ,S8,S5;SA,S4,S10,S2;D5,DA,D2,D8;CJ,CQ,C4,C9;D7,DK,D3,DQ;C3,C6,CA,D6;DJ,C7,D9,D4;C10,SK,HQ,H2;H8,H3,S9,H7;HJ,H5,S3,H6;H10,HK,S7,HA;H9,S6,D10,H4"
1569979556,0,1,1,"CQ,C7,C6,C2;C3,C10,C4,CJ;S8,S5,S7,S2;SQ,SK,SA,S3;D6,DK,D2,D7;CA,C8,DJ,SJ;CK,S10,D4,S6;C9,S4,D10,S9;DA,D8,H7,D9;H10,H4,HK,HQ;H2,HJ,H9,H6;DQ,H3,HA,D5;D3,H8,C5,H5"
1569979556,0,4,1,"CK,C8,CA,C2;SA,S3,S5,S8;S2,SQ,S9,SK;DA,D6,D9,DQ;C6,C4,C5,C10;D5,D4,DK,DJ;S7,SJ,CJ,D10;C7,C9,C3,D7;D8,HQ,D3,H5;H7,HK,H3,HJ;H9,S10,H8,H10;S4,S6,H6,H2;D2,H4,CQ,HA"
1569979556,0,17,1,"S10,C8,C5,C2;D4,D8,D2,D5;S2,SJ,S6,S4;DJ,C7,D9,DQ;SQ,SA,S8,S7;D10,C4,DK,DA;CK,C9,C6,S9;D3,CQ,CA,D6;S3,CJ,H2,S5;H5,HJ,HK,H8;H10,H6,H9,HQ;C10,C3,H3,HA;SK,D7,H7,H4"
1569979556,0,0,1,"C9,C5,C6,C2;CK,C7,CA,C10;S9,S3,SK,S4;SA,S7,SQ,S2;S6,D9,D10,S10;D4,DK,DJ,CQ;DA,D6,D8,S5;D5,D3,D2,C4;H7,HJ,HQ,HK;H4,H8,S8,H6;CJ,D7,C3,H10;C8,DQ,H3,H9;HA,SJ,H5,H2"
1569979556,0,11,1,"CA,CQ,C5,C2;C4,C7,C6,C3;DJ,DA,D5,D9;S3,SQ,S2,S7;D8,D6,DK,C8;S9,S5,SJ,C10;D10,D2,C9,D3;HQ,H4,HK,H10;H5,S10,H3,S8;HA,D7,H6,DQ;HJ,SK,H7,SA;CK,CJ,H8,D4;H2,S6,H9,S4"
1569979556,0,0,1,"C4,C6,C5,C2;S6,SK,S7,S2;S3,S10,S4,S8;CJ,C9,C10,CK;D6,D10,DQ,D3;D5,D4,DJ,D9;S5,C7,CQ,SA;S9,DA,C8,SQ;DK,CA,D7,H2;H6,H8,H3,H10;H5,HK,H7,HA;D8,HJ,SJ,H4;D2,H9,C3,HQ"
