1569978614,0,3,2,"C2,C9,S4,C8;C4,D7,CK,C3;CQ,D5,D8,C7;CJ,S7,D9,C10;C5,S3,DQ,SK;C6,D2,DK,DJ;S9,S6,SA,D10;S2,S8,HQ,SQ;H4,H8,H2,H6;SJ,HJ,S10,S5;DA,H3,D4,D6;D3,H5,H7,HK;H9,H10,HA,CA"
1569978614,0,0,2,"C2,CQ,C10,CJ;SA,SK,S10,S3;D9,D5,D2,D3;CA,C4,C9,C5;S8,S4,S5,S6;C7,CK,C8,C3;DJ,DK,DA,D4;HQ,HK,H6,HJ;S7,SQ,D6,H10;H4,H8,H7,H9;HA,H3,S2,D10;H2,DQ,SJ,D8;H5,C6,S9,D7"
1569978614,0,0,2,"C2,C3,CK,C7;D3,D7,DQ,D6;S2,S5,S4,S9;DJ,S10,D4,D2;DK,SA,D8,D9;DA,C5,D10,S3;D5,SQ,S6,CJ;C9,CA,C4,C10;S8,S7,CQ,SJ;C8,C6,H4,HK;H2,HQ,H7,HJ;H5,H9,H6,H10;SK,H8,HA,H3"
1569978614,0,6,2,"C2,C7,C9,CK;S2,SA,SJ,S4;C5,C10,C3,CQ;S5,SQ,SK,S8;D6,DK,S7,D9;S10,D8,S3,C6;D5,DQ,C4,DJ;D2,D10,C8,H5;D7,CA,D4,H6;D3,S6,DA,HJ;H10,H3,HK,H4;HQ,HA,H2,H9;S9,H7,CJ,H8"
1569978614,0,4,2,"C2,C9,C6,C5;D8,D10,D7,D2;S2,S7,S8,S9;S3,S4,SJ,SA;S6,SQ,S5,DJ;SK,C10,DQ,CK;D3,D4,C7,D5;C8,C3,CJ,C4;DK,H8,DA,HJ;H10,H7,HA,HQ;H2,H4,H3,H6;HK,CA,H9,D6;H5,S10,CQ,D9"
