1569980677,0,4,0,"C10,C7,C4,C2;D6,SA,D2,D4;S6,S3,S5,S9;CK,C8,C3,C6;CA,C5,CJ,D8;SK,SJ,SQ,S2;S8,S10,D10,S7;C9,D5,D3,CQ;S4,DK,HJ,D7;H3,H10,HA,H4;H8,HK,H2,HQ;H9,DJ,H7,DQ;H6,DA,H5,D9"
1569980677,0,13,0,"CK,C3,C8,C2;DQ,D2,DJ,D9;D4,D6,D3,C10;DA,S5,SA,D5;SK,S3,S7,CA;C9,C7,CQ,D10;SQ,S10,S4,DK;CJ,C5,S2,D8;C4,C6,S6,H6;HK,HQ,H9,H5;HJ,HA,H7,H4;H2,H10,H8,SJ;H3,S8,S9,D7"
1569980677,0,17,0,"C10,C5,CK,C2;DA,D6,D2,DQ;D9,D4,D7,SQ;SK,SA,S10,S9;SJ,S2,C9,S7;S4,S6,C3,CQ;D5,CA,D3,DJ;D8,C4,DK,C8;S8,C6,D10,S5;C7,H10,H2,CJ;H7,H3,HK,H4;H9,HJ,H5,HA;S3,H8,H6,HQ"
1569980677,0,4,0,"C8,C4,C5,C2;DK,DA,D10,D3;D8,D5,D9,D2;S6,S7,SA,S8;S9,S5,DJ,SJ;CJ,C6,C7,C10;S10,S4,CA,S2;S3,D6,C9,SK;DQ,H2,D4,HJ;H4,H3,H8,H10;H7,C3,HQ,HA;H6,CK,HK,H5;D7,CQ,SQ,H9"
1569980677,0,6,0,"C9,C4,C3,C2;S2,SA,S10,S5;C8,CQ,C6,CA;DA,D8,DQ,D5;D4,D6,D10,DK;C7,S6,SQ,CK;S4,S7,S8,SK;DJ,S9,D7,D3;D2,H6,D9,HQ;H3,H8,CJ,H2;H7,H9,SJ,H5;S3,C10,HK,HJ;H4,C5,HA,H10"
1569980677,0,0,0,"D8,CQ,C9,C2;DJ,D7,D9,D5;S4,S10,SJ,S6;SQ,SA,S7,SK;D4,DQ,D2,C6;CJ,D3,CK,C7;CA,C8,DK,C5;C4,DA,D10,S5;C10,S9,S3,S2;C3,HA,H9,H8;H10,H5,H4,HJ;H7,H6,H2,HQ;D6,H3,HK,S8"
1569980677,0,26,0,"C6,C3,C5,C2;S3,S6,S9,S7;C4,C9,CA,CK;D4,DA,D2,D8;C10,CQ,S10,S8;S2,SJ,SQ,C7;D6,CJ,D10,D5;DJ,S4,D7,DQ;D3,C8,DK,D9;SK,H10,H5,H9;H8,H4,H2,H6;S5,H7,HA,HK;SA,H3,HJ,HQ"
1569980677,0,15,0,"CQ,CA,C4,C2;D5,DJ,D7,D8;S4,S10,SQ,S8;D10,C5,DA,D6;CJ,C6,C3,CK;S9,S7,SK,S6;C7,C9,D3,DQ;SA,C8,S3,SJ;S2,H9,S5,H5;H2,HQ,HJ,H7;H4,HK,H8,D4;C10,HA,H10,DK;H3,H6,D9,D2"
1569980677,0,0,0,"C8,CA,CQ,C2;D2,D6,D9,D8;C9,C6,C7,D4;SK,SQ,S7,S2;D5,D10,S9,D3;S5,S10,S6,S4;C4,C10,S8,C3;DK,CK,D7,DJ;SJ,H7,SA,S3;H6,H9,H4,HJ;C5,H8,H2,CJ;DA,HK,H10,HA;DQ,H3,H5,HQ"
1569980677,0,16,0,"C8,CA,C10,C2;S6,S2,DK,S10;C3,C7,CQ,C5;C6,CK,D10,SK;D5,D2,D4,D9;S9,SQ,CJ,S8;DJ,D6,D7,DA;S4,H3,SJ,H4;HQ,HJ,HK,H9;H5,H6,H2,H8;DQ,D8,H10,SA;D3,C4,HA,S7;S3,C9,H7,S5"
