1571051037,0,4,2,"C5,C3,C6,C2;D4,DA,D8,D6;S8,S6,S2,S10;C9,C7,C4,CQ;D10,DJ,D3,DK;SQ,S4,S7,SK;S5,H8,S9,SJ;H6,H10,H3,H2;C10,CA,CJ,C8;H7,H5,HK,H4;HA,D9,D5,CK;SA,D7,DQ,S3;D2,HJ,H9,HQ"
1571051037,0,20,2,"CA,C3,C4,C2;D10,DA,D4,D3;S6,SA,S4,S7;SJ,S2,S3,S10;C8,CQ,D5,C5;S8,SQ,SK,S9;H8,D7,C10,S5;H4,DK,D6,D9;H7,HA,H9,HJ;HQ,D2,H5,DJ;H3,HK,H6,H2;CJ,CK,C7,H10;C9,D8,C6,DQ"
1571051037,0,18,2,"C7,C5,CK,C2;D6,D4,DK,D8;D7,D10,HK,D2;CQ,SA,C10,CJ;HJ,H3,H2,H4;DQ,C8,SJ,D5;S9,S8,DJ,D9;SQ,S10,S5,S3;HQ,H6,S2,SK;C3,H8,H9,HA;C9,H5,DA,D3;S4,CA,H7,S6;C6,C4,H10,S7"
1571051037,0,0,2,"CJ,CK,C7,C2;D5,DK,D9,D3;SA,SQ,S5,S9;S7,S8,S2,S3;DA,H9,D6,D8;CA,C3,C4,C10;HK,H10,H7,HA;C8,C5,C9,CQ;HQ,D7,S4,SJ;H4,H3,H6,HJ;DQ,DJ,SK,S10;S6,D2,H2,C6;H5,D10,D4,H8"
1571051037,0,6,2,"C9,C6,CA,C2;S4,S10,S8,S7;D10,D4,D8,D9;D3,DJ,DA,D5;D2,H7,HA,D6;SK,SA,S6,S2;C5,C10,C8,C3;H8,H2,H4,H3;CQ,H9,DK,DQ;HJ,SQ,H5,H6;S5,C7,CK,CJ;HQ,SJ,H10,HK;C4,S9,S3,D7"
1571051037,0,0,2,"C4,CQ,C6,C2;SK,SJ,S9,SA;C10,C5,CJ,C3;DJ,D8,H8,D6;DA,S6,S2,S8;DK,C7,C8,CK;HA,H3,H6,H4;CA,D10,D5,DQ;H5,HJ,H7,H9;S10,HK,S4,S5;D7,H10,S3,SQ;D3,HQ,D2,D9;D4,C9,S7,H2"
