1569978786,0,0,1,"C2,C7,CJ,C6;D2,D8,D5,D4;SQ,S2,S10,S8;S7,D3,SA,S9;CQ,C4,SJ,C3;C5,C10,S6,D10;DK,D7,D6,DA;S4,S5,CA,DQ;D9,S3,DJ,H7;C9,H2,H3,H9;CK,HK,HQ,H4;C8,H5,HA,HJ;H10,H8,SK,H6"
1569978786,0,0,1,"C2,CJ,C8,C5;D3,D2,D8,DK;CQ,S6,C3,C7;C4,DJ,C6,C9;S4,S10,SQ,S2;S9,SK,SJ,S8;D9,S5,D5,D10;CA,S3,C10,DA;D7,H6,D4,DQ;H5,H9,HJ,H7;H8,H3,HK,H10;S7,HA,SA,HQ;H4,H2,D6,CK"
1569978786,0,0,1,"C2,CA,CK,C8;D8,DQ,D9,D6;S5,SJ,SQ,S8;C3,C9,C7,C5;S6,S2,S3,DK;S9,S7,SK,D10;CJ,C4,C6,D4;CQ,D3,DJ,D2;C10,H3,H9,H5;SA,HK,S10,H6;S4,H8,HQ,HJ;DA,D5,H7,H4;H10,D7,HA,H2"
1569978786,0,4,1,"C2,CJ,C7,CA;C5,CQ,C3,C4;DK,DJ,D5,D10;S5,SK,S10,SA;C6,C8,CK,DA;D6,D8,D4,DQ;S3,S9,S6,S4;D9,S7,D7,D3;D2,SQ,S8,S2;C10,H6,H2,H7;C9,H5,HK,H8;HJ,H3,H10,HA;H4,SJ,H9,HQ"
1569978786,0,0,1,"C2,C6,CA,C3;SJ,SK,S10,S3;D6,DQ,D3,D4;D9,DK,D10,D8;S7,S4,S6,SQ;CQ,C10,C4,C7;C5,S9,CJ,CK;D7,DA,D2,C9;C8,DJ,D5,S2;H5,H7,H3,H10;HJ,H8,H9,HA;H2,S5,H4,HK;SA,S8,HQ,H6"
1569978786,0,15,1,"C2,C6,C10,C5;D3,D10,DA,DQ;S3,S9,S10,SQ;D5,DJ,D7,D2;S4,SK,CQ,SJ;D8,DK,D4,D6;S5,S6,CK,S7;CJ,C7,C9,C8;C3,C4,D9,CA;H5,H2,H3,H9;H4,H8,H7,HQ;HK,SA,H10,HJ;H6,S8,HA,S2"
1569978786,0,13,1,"C2,CK,C6,C9;SA,S5,S10,S6;S4,S8,C3,S7;D10,D5,DQ,DK;SJ,D3,SK,SQ;C4,CJ,C8,CQ;D8,D2,D6,C7;D4,DJ,DA,S3;C10,CA,HJ,HQ;S2,H3,H2,H6;S9,D7,HK,H8;HA,H4,H7,C5;H10,H5,H9,D9"
1569978786,0,3,1,"C2,CJ,C9,C6;S4,SA,S9,S5;D7,D5,D8,D4;S7,S10,SK,S6;D10,D3,D6,DQ;D2,DJ,DA,SJ;C7,C4,C8,CK;C5,C10,CQ,CA;DK,D9,H9,H4;SQ,H6,S3,H5;H8,H3,S8,H2;HK,HJ,C3,H7;HQ,HA,S2,H10"
