1569979558,0,12,0,"C7,C8,C6,C2;S3,S5,S4,SQ;S7,S2,SJ,S6;DK,DJ,DA,D9;CA,C9,CJ,C5;D6,D2,D8,D4;C10,CQ,C3,S10;S8,DQ,C4,S9;SK,D7,H5,D3;HJ,H7,H3,HA;D5,H8,HK,H6;HQ,H2,H9,H4;D10,CK,H10,SA"
1569979558,0,13,0,"C9,CQ,C5,C2;S2,S7,S3,S6;D5,D6,D8,D3;C7,CA,S4,C4;C8,C6,S8,S10;DJ,DK,DQ,D10;D2,DA,C10,S5;S9,CJ,CK,SQ;SK,SJ,C3,D4;H2,H9,H6,H10;H7,D7,HK,H8;HQ,D9,HA,HJ;H5,SA,H4,H3"
1569979558,0,23,0,"CA,C6,C4,C2;D9,D5,D6,D4;D7,C3,DA,S6;C7,C10,C5,CK;SJ,S10,CJ,S3;SA,D8,DK,S4;S7,D2,D10,S9;C8,D3,DQ,SK;CQ,H10,H6,HK;H2,HQ,HJ,H8;DJ,H5,SQ,C9;HA,H3,S5,H4;H9,H7,S8,S2"
1569979558,0,4,0,"C8,C5,C6,C2;CK,S5,CJ,CQ;C3,D4,C10,SA;DA,DK,D2,D8;DJ,D7,DQ,D6;S7,S3,S2,SJ;C9,S6,C7,D9;D5,D3,SK,S4;H9,H2,H8,H3;H7,HA,HQ,H10;S8,S9,H4,S10;H5,C4,HJ,HK;D10,CA,H6,SQ"
1569979558,0,4,0,"CQ,C5,C8,C2;D6,D7,D4,DA;S3,S4,S2,S7;D9,DK,DJ,DQ;S6,S10,S8,S5;CA,C3,CK,C7;C6,C4,SQ,C10;S9,D2,D3,SJ;SA,H3,SK,D5;H5,H6,H10,HA;H9,HK,CJ,HQ;HJ,D8,H4,H7;H2,C9,H8,D10"
1569979558,0,17,0,"C8,C4,C10,C2;S10,S2,S8,SJ;D3,D5,D4,D2;CJ,CA,C7,C9;S4,S6,DK,SA;S9,SK,DQ,SQ;S3,D8,D6,S7;C5,CQ,C3,DA;D7,D9,S5,DJ;D10,C6,CK,H5;H8,HA,H7,HK;H6,HQ,H10,H9;H4,H3,HJ,H2"
1569979558,0,14,0,"C6,CJ,CA,C2;DQ,D3,DK,D10;DA,DJ,D7,D6;D9,S4,C10,D2;D4,CQ,SQ,D5;C3,C7,C8,S7;S10,S8,S5,S3;C5,SJ,C9,S6;SA,SK,S9,H7;H10,HK,H8,H2;HA,HQ,H9,C4;H3,H5,H4,CK;HJ,H6,S2,D8"
1569979558,0,17,0,"C8,C10,C9,C2;DK,D2,DA,D7;S9,S7,S6,S8;S2,S10,S5,D6;C4,SQ,C3,C6;D5,D3,D4,CQ;D10,D8,D9,HQ;H10,H6,HK,H3;SA,CA,H9,S4;SJ,C7,HA,S3;DJ,H7,H5,SK;DQ,CK,H4,C5;H8,CJ,H2,HJ"
