1569977218,0,0,1,"C2,CQ,C6,C3;S6,S9,S3,SQ;D3,D2,DK,D7;SA,S10,SK,S8;D4,D10,D6,DJ;C4,CK,C8,CA;S2,S7,H7,SJ;C9,C10,CJ,HK;S5,H4,H9,H8;S4,C5,H3,DQ;HQ,H6,HJ,H5;H2,HA,D5,C7;DA,D8,H10,D9"
1569977218,0,19,1,"C2,C3,CA,C8;S4,S2,S8,S10;D8,DA,DJ,D5;DK,D4,DQ,D6;C6,C4,CK,C5;C9,CJ,C7,S3;D7,D10,D9,D2;SQ,S5,SJ,SK;C10,CQ,H4,H5;H9,H6,HQ,HA;H8,H10,HK,S6;HJ,S9,SA,H2;H3,D3,S7,H7"
1569977218,0,4,1,"C2,CQ,C10,CK;D6,D3,D9,DK;S2,S4,S9,S10;D7,DQ,HQ,DA;D2,D8,H9,DJ;C8,C7,CA,C3;S5,SA,SQ,S6;HJ,H8,H4,H7;D10,H3,HK,D4;S3,H10,SK,SJ;H6,HA,H5,H2;CJ,C4,C6,C5;C9,S8,D5,S7"
1569977218,0,9,1,"C2,C7,CA,C10;D6,D4,D2,D9;CJ,S6,C5,C9;SJ,S5,S2,S3;S10,S9,S4,SQ;D7,DQ,DA,DK;CK,H9,H3,C6;CQ,HK,D3,C8;C4,D10,SA,C3;H5,HQ,H4,HJ;H2,H7,H10,HA;H8,D8,SK,D5;H6,DJ,S8,S7"
1569977218,0,2,1,"C2,CJ,CA,C6;D3,D7,D2,D8;C5,C8,CK,C7;S9,SQ,S4,S7;SK,S3,S2,S8;C3,H6,C4,HA;D4,DK,D6,DQ;HK,HQ,H8,H3;SA,S10,SJ,S5;H5,H2,CQ,H10;S6,C10,D5,H9;DJ,DA,D10,H4;C9,H7,D9,HJ"
1569977218,0,1,1,"C2,C9,D6,C5;S7,SJ,DJ,S5;D5,DK,D3,D7;C7,H2,C4,C6;D9,DA,DQ,SK;S3,S2,S6,HJ;HA,H6,H3,H4;CK,C10,HQ,CJ;SA,S10,S4,H7;C3,CA,H8,CQ;S9,HK,S8,D4;SQ,H9,H10,H5;D8,C8,D2,D10"
1569977218,0,4,1,"C2,C5,CQ,CK;S8,S7,SK,SA;C3,C10,CJ,C4;S4,S9,D2,SQ;C9,C6,CA,HK;D4,DK,DQ,D10;D8,D3,D5,D6;S3,S10,H7,S5;H5,H9,H10,HJ;H2,HQ,H6,H8;DJ,S6,D9,DA;D7,H4,C8,H3;S2,C7,SJ,HA"
1569977218,0,2,1,"C2,CJ,C3,C6;S2,SA,S9,SJ;D2,D10,D4,D5;DJ,D3,D9,D7;C5,C9,CQ,C7;S3,S6,S4,H2;S10,S7,S8,H9;S5,SK,SQ,H7;H8,H4,H5,H10;HK,HJ,HA,HQ;CK,D8,H6,CA;C10,DQ,H3,C4;D6,DA,DK,C8"
