1569982480,0,0,2,"C5,CK,CJ,C2;D2,D4,D7,DK;S6,S9,S7,S8;C4,C3,C6,C9;SJ,SQ,SK,S5;S3,CA,SA,S4;DQ,DJ,D10,D9;C7,C10,CQ,C8;S10,S2,D6,D8;DA,D3,HA,D5;H5,HJ,H6,H3;H4,HK,H9,H10;H7,H8,HQ,H2"
1569982480,0,1,2,"C3,C4,C9,C2;SK,S7,D10,S2;SJ,S5,DQ,S3;S8,D5,CJ,S9;S10,D3,C6,SA;D9,DA,D2,D4;CK,C5,H8,C7;CQ,CA,H9,SQ;H7,C8,H5,H6;HQ,C10,H3,S6;H4,D7,H2,D8;HK,DJ,H10,S4;HA,D6,HJ,DK"
1569982480,0,0,2,"C6,CA,C10,C2;S6,S9,SK,S10;D10,DK,D6,D9;S4,S2,SJ,S7;CJ,CK,S5,CQ;DA,D5,D8,D4;C4,C5,SA,C8;SQ,C3,C7,S3;S8,D2,DQ,D3;C9,H4,D7,DJ;HA,H2,H8,H3;H7,H5,HQ,H9;HK,H6,HJ,H10"
1569982480,0,6,2,"CA,D10,CK,C2;S7,S10,S4,S6;DA,DQ,C4,DK;D7,DJ,C6,D3;C9,CJ,S3,C8;S8,S9,S5,SA;D9,D6,D5,C3;CQ,C5,D4,S2;SJ,HQ,SK,HK;H6,H8,H5,H7;C7,D2,HA,H9;H2,D8,H4,H10;HJ,C10,SQ,H3"
1569982480,0,0,2,"CA,CK,C8,C2;C3,C10,S7,CQ;S4,SQ,S8,S10;C7,C6,D8,D7;C4,C5,DK,D3;D6,D4,DJ,D2;SA,S9,D9,S6;S5,SK,DQ,SJ;S3,H5,HK,S2;H2,HQ,H3,H4;H10,H8,H9,H6;D5,DA,H7,D10;CJ,C9,HJ,HA"
1569982480,0,7,2,"C4,C7,C8,C2;SA,S4,S7,S10;DK,D3,D8,D6;S2,S5,SQ,S3;S8,D2,CQ,SJ;D7,D10,DJ,D5;C5,C6,CA,C3;CJ,D4,C10,SK;C9,H10,CK,S6;D9,H4,H7,H3;DA,H2,H9,H8;HK,HA,H5,HJ;HQ,S9,H6,DQ"
1569982480,0,1,2,"C6,CJ,C9,C2;D4,D10,DK,D5;SQ,S6,S10,SA;S4,CQ,S7,SK;D2,DJ,D3,DA;D6,CA,D7,D9;CK,C8,C5,C7;C4,S5,C3,C10;S3,H6,S2,S8;H5,H8,H10,HA;S9,H4,HJ,H9;SJ,H7,HQ,DQ;HK,H2,D8,H3"
1569982480,0,0,2,"C5,CK,C3,C2;D3,D5,D7,DQ;D6,D9,S10,DJ;S5,SQ,S6,S4;S2,S7,S9,SA;D4,CJ,DA,SK;C7,C4,C10,CA;D8,S3,CQ,S8;D10,H10,H9,H5;H6,H8,HK,H3;HJ,H7,H2,C6;HQ,H4,DK,C8;HA,C9,D2,SJ"
