1569982471,0,26,1,"C8,C3,C7,C2;DQ,D6,DJ,D3;D9,D8,D2,DA;CA,CJ,C4,C5;SQ,S4,SA,S3;S9,S10,S8,S7;SJ,D5,S6,S5;DK,D10,D4,SK;D7,C6,CQ,CK;HK,H8,H4,HA;HQ,H6,H10,H9;H7,H3,H2,S2;HJ,C9,H5,C10"
1569982471,0,4,1,"C3,C4,C5,C2;SQ,SJ,SK,SA;DJ,D5,D2,DK;DQ,DA,D10,D7;C8,C6,C9,C7;S9,S2,S5,S6;CK,C10,CA,CQ;S8,S7,H5,S3;D8,D9,HA,D6;H6,HK,D4,HJ;H2,S4,H4,H9;H10,CJ,HQ,H8;S10,D3,H7,H3"
1569982471,0,0,1,"C5,C4,CQ,C2;D10,D8,D5,DJ;S10,S4,S9,S8;D3,DK,D2,D4;CJ,C6,C9,C8;SK,S3,D9,S7;CA,C3,C7,D7;DQ,SJ,DA,S2;D6,S6,H6,HJ;HA,H9,HQ,H5;H4,SA,H2,H10;HK,CK,H7,H8;H3,S5,SQ,C10"
1569982471,0,1,1,"C3,C8,CJ,C2;S9,SA,SQ,SK;D2,D4,D8,DK;S2,S4,S5,SJ;D5,D3,DA,DQ;CA,CQ,C9,C7;S3,D9,S6,S8;S7,C4,DJ,C10;CK,H7,C6,D7;HQ,H5,HK,H3;H8,H6,H4,HJ;H9,HA,D6,C5;H10,H2,D10,S10"
1569982471,0,13,1,"C9,C3,C4,C2;D9,D10,D5,DQ;C10,CA,CJ,C8;D7,D3,DJ,D8;SA,SJ,S2,S9;S7,S10,S4,SQ;S8,SK,S6,S3;CQ,C6,C7,D2;DA,D4,HK,HA;H10,CK,H7,H6;H2,S5,H9,H8;HQ,C5,HJ,H3;H5,D6,H4,DK"
