1571051088,0,4,3,"C4,C3,CA,C2;S2,S7,S8,SA;CQ,C7,C6,C8;S6,S9,S10,SQ;D6,D10,D3,D5;S4,SJ,H10,S5;CJ,D7,CK,C9;HJ,H6,HA,H2;HK,H5,H4,H3;C10,DJ,HQ,C5;D9,D4,DK,DQ;D8,H7,SK,S3;H9,DA,H8,D2"
1571051088,0,0,3,"CJ,C3,CA,C2;S9,S6,S7,SK;D6,D4,H4,D7;D8,DJ,SJ,D3;C10,C6,CQ,C9;D9,S10,DK,DQ;CK,C7,C4,C5;D2,H7,HK,D5;H5,H10,H3,H8;S8,HJ,H9,S3;D10,HA,S5,C8;H6,HQ,S4,S2;SA,H2,DA,SQ"
1571051088,0,0,3,"C3,C5,C6,C2;CQ,C7,CK,C9;S10,SQ,S5,S9;D4,HA,D2,D5;H5,H10,H3,H6;H4,HJ,H8,H2;D10,S6,D3,DQ;D9,SA,D8,DJ;SK,S2,HQ,H7;CJ,CA,S3,H9;D6,D7,SJ,HK;DK,S7,C8,S8;C4,DA,C10,S4"
