1571051186,0,20,0,"C6,C7,CK,C2;SJ,S10,S2,SK;D3,DK,D9,D7;H5,C4,CA,C3;CJ,H10,H6,C8;DQ,D2,C5,C10;H3,H7,HJ,HQ;S5,H4,S7,S3;S9,S8,D10,S6;DA,HA,SA,SQ;CQ,D4,H8,D6;S4,D5,H9,D8;C9,H2,HK,DJ"
1571051186,0,21,0,"C7,CA,S3,C2;D8,DQ,D9,D6;SQ,S4,S10,S2;C9,DA,C4,C3;DJ,D10,D7,D3;S8,S9,SK,S6;DK,C8,D5,D2;H10,S7,H4,S5;C6,H9,H3,SJ;HJ,H8,HK,HA;CQ,D4,CK,SA;HQ,H6,CJ,C10;C5,H2,H5,H7"
1571051186,0,15,0,"C10,C7,CA,C2;SA,S2,S4,SJ;C9,CJ,CK,C8;S8,S9,SQ,S5;S10,D7,SK,S6;DJ,D10,D6,D2;DA,D5,D4,D3;H2,S7,HQ,S3;HJ,DK,D9,D8;H10,H6,H9,H7;HK,C3,C6,C5;CQ,H5,H3,HA;C4,DQ,H8,H4"
1571051186,0,13,0,"CQ,C7,CK,C2;S2,S4,H7,S9;SQ,S10,D9,S8;C9,C5,HK,C8;DA,H6,C3,C10;HQ,H4,H8,H5;D10,D7,D5,D6;C6,D3,DJ,D2;D8,S7,HJ,DK;H10,H9,H2,HA;SJ,S6,SK,D4;SA,C4,CA,H3;S5,CJ,S3,DQ"
1571051186,0,17,0,"C7,C3,CA,C2;D7,D4,D10,D8;S4,CK,CJ,C9;SK,S5,S2,S6;CQ,HJ,D5,C5;H6,HK,H8,H7;SQ,S8,SJ,SA;D9,D2,DQ,DA;S3,H5,H2,H4;H3,H9,C10,H10;DJ,S10,C4,D6;HQ,S9,C8,D3;HA,C6,S7,DK"
1571051186,0,7,0,"C4,C10,CK,C2;C7,C9,H10,CA;H4,H3,H6,H7;S2,S3,S8,SJ;CJ,C8,D8,CQ;HJ,SK,H2,H5;C5,H8,S6,C6;D4,SA,S7,S5;HQ,HK,D9,H9;D6,D10,DJ,D3;C3,DK,D2,DA;S4,D5,S9,DQ;SQ,D7,S10,HA"
1571051186,0,25,0,"C5,C9,CK,C2;D8,D2,D6,DK;C4,CA,C8,C3;D10,DJ,D4,D7;S2,S3,S10,S7;HJ,CQ,CJ,C7;SA,DQ,S5,S6;D3,D9,D5,DA;H7,H4,H10,HQ;HK,H3,H5,HA;H8,SK,SQ,H9;H2,S8,SJ,H6;C6,S9,S4,C10"
