1569978235,0,13,3,"C2,CK,CJ,C6;S7,S6,SA,SQ;DJ,D5,D4,D7;S9,S5,S2,S3;DQ,D8,DK,D6;SJ,SK,C4,S8;C10,D10,C8,CQ;D2,D3,CA,C9;S4,C5,DA,C7;S10,H6,D9,H3;H5,H9,H10,HQ;HJ,HA,HK,H2;H4,C3,H8,H7"
1569978235,0,0,3,"C2,CA,CQ,C6;DA,D7,DJ,D3;D5,DQ,D9,CK;S9,S6,SA,S4;C7,C8,CJ,S8;S2,S3,SK,SQ;C9,C10,SJ,DK;S10,D4,S7,D6;D8,HQ,S5,D10;H3,H8,HA,H9;D2,HJ,H7,H2;C5,H5,HK,C4;C3,H4,H6,H10"
1569978235,0,13,3,"C2,C7,CK,C8;DJ,D2,DK,D6;C4,C5,C3,CA;DA,D10,D7,D4;D8,S9,DQ,D5;S3,S4,SQ,SK;S5,S2,D3,SJ;S7,SA,D9,S8;CQ,C10,H10,C6;S10,S6,H2,H7;H9,H3,H5,H8;H4,HA,HK,CJ;HQ,HJ,H6,C9"
1569978235,0,0,3,"C2,CA,CK,CQ;SK,S7,S3,S5;D3,D8,DA,D2;C7,C6,C4,C10;C8,C3,CJ,D9;S4,SJ,S8,S6;D4,DJ,DK,D5;C5,SQ,C9,DQ;D10,D6,H9,H2;D7,S2,H8,H6;SA,HA,H3,H10;S10,HK,H4,HQ;S9,HJ,H5,H7"
1569978235,0,0,3,"C2,C4,C5,C9;SA,S7,SK,S9;D9,D8,D3,D6;S5,S2,SJ,S10;D2,DA,D10,D4;CJ,CQ,C7,C6;DK,D5,D7,C10;S6,S8,S4,CK;C3,CA,SQ,C8;H5,H7,H3,H2;DQ,HQ,H6,H10;S3,HJ,H8,HK;DJ,HA,H4,H9"
1569978235,0,13,3,"C2,CJ,C10,C9;S3,S8,SA,S6;D10,D8,D3,D4;D7,DA,C4,C6;D2,D5,CA,CK;D6,S9,DQ,S10;D9,S5,DJ,S2;S4,S7,DK,SQ;C3,C5,C7,H8;SJ,H6,H10,HK;SK,H7,HJ,H3;HA,H5,CQ,H9;H2,H4,C8,HQ"
1569978235,0,26,3,"C2,C6,C9,C4;D10,D6,D8,DA;C8,C10,C3,C5;DQ,D2,D7,D5;CK,S4,SK,CQ;DK,DJ,S8,S6;S5,SA,S2,SJ;S7,S9,S10,S3;CJ,H2,H6,CA;D9,H4,H9,D4;D3,H7,H8,H5;SQ,HA,HK,HQ;C7,HJ,H3,H10"
1569978235,0,26,3,"C2,C4,C9,C6;DK,D6,D8,D10;CJ,CA,C3,C8;SA,S2,S3,D2;S9,SJ,S10,D7;DA,DJ,S4,D3;S8,SQ,S5,CQ;SK,C10,D9,DQ;S7,H2,H3,H4;S6,HQ,D4,HA;CK,H9,C7,HJ;H7,H6,D5,H5;HK,H8,C5,H10"
